#lamb flux
1000.0 0.0
1010.0 2.25189e-07
1020.0 2.53073e-07
1030.0 2.00232e-07
1040.0 1.5944e-07
1050.0 1.12784e-07
1060.0 7.02705e-08
1070.0 2.55734e-08
1080.0 3.20831e-08
1090.0 1.99447e-08
1100.0 1.3742e-08
1110.0 2.65822e-10
1120.0 8.72932e-14
1130.0 6.32162e-10
1140.0 2.84039e-08
1150.0 8.36379e-08
1160.0 8.24752e-08
1170.0 7.84352e-08
1180.0 8.02904e-08
1190.0 8.64535e-08
1200.0 6.5788e-08
1210.0 4.87493e-08
1220.0 6.80853e-08
1230.0 4.9039e-08
1240.0 3.15583e-08
1250.0 3.14205e-08
1260.0 3.13973e-09
1270.0 3.17371e-07
1280.0 1.96846e-07
1290.0 1.20696e-07
1300.0 5.50546e-07
1310.0 9.84808e-07
1320.0 1.49508e-06
1330.0 1.76079e-06
1340.0 1.48992e-06
1350.0 1.02847e-06
1360.0 7.05851e-07
1370.0 6.36842e-07
1380.0 4.62768e-07
1390.0 2.38898e-07
1400.0 1.28235e-07
1410.0 2.17089e-07
1420.0 7.24529e-07
1430.0 1.13794e-06
1440.0 1.50497e-06
1450.0 1.5126e-06
1460.0 1.70007e-06
1470.0 2.19793e-06
1480.0 2.3928e-06
1490.0 2.86834e-06
1500.0 3.14475e-06
1510.0 3.76459e-06
1520.0 3.15985e-06
1530.0 3.05644e-06
1540.0 2.89545e-06
1550.0 2.33807e-06
1560.0 1.96426e-06
1570.0 2.08447e-06
1580.0 2.44074e-06
1590.0 2.96331e-06
1600.0 3.38002e-06
1610.0 3.14911e-06
1620.0 3.52344e-06
1630.0 4.52187e-06
1640.0 6.69488e-06
1650.0 6.81878e-06
1660.0 7.74774e-06
1670.0 5.38414e-06
1680.0 5.11e-06
1690.0 3.78773e-06
1700.0 3.3609e-06
1710.0 3.69041e-06
1720.0 4.47047e-06
1730.0 7.93239e-06
1740.0 1.2428e-05
1750.0 1.66374e-05
1760.0 1.90517e-05
1770.0 1.73333e-05
1780.0 1.85381e-05
1790.0 1.71974e-05
1800.0 1.42419e-05
1810.0 1.23801e-05
1820.0 9.61652e-06
1830.0 9.92838e-06
1840.0 1.36797e-05
1850.0 2.63863e-05
1860.0 3.71377e-05
1870.0 5.55898e-05
1880.0 6.39357e-05
1890.0 6.68949e-05
1900.0 5.91858e-05
1910.0 4.55718e-05
1920.0 3.35384e-05
1930.0 2.16017e-05
1940.0 1.5057e-05
1950.0 1.06679e-05
1960.0 1.1043e-05
1970.0 1.52405e-05
1980.0 2.35789e-05
1990.0 3.29586e-05
2000.0 3.93675e-05
2010.0 3.98889e-05
2020.0 3.64658e-05
2030.0 3.3474e-05
2040.0 3.26755e-05
2050.0 3.46362e-05
2060.0 3.55316e-05
2070.0 3.98557e-05
2080.0 4.67101e-05
2090.0 5.52436e-05
2100.0 5.82767e-05
2110.0 5.43329e-05
2120.0 4.76127e-05
2130.0 4.47624e-05
2140.0 3.80524e-05
2150.0 3.51351e-05
2160.0 3.34688e-05
2170.0 3.20283e-05
2180.0 2.80974e-05
2190.0 2.22183e-05
2200.0 1.70842e-05
2210.0 1.36892e-05
2220.0 2.05271e-05
2230.0 0.000169499
2240.0 0.000276095
2250.0 0.000385322
2260.0 0.000404149
2270.0 0.000418927
2280.0 0.000486799
2290.0 0.00066631
2300.0 0.000943302
2310.0 0.0011719
2320.0 0.00137786
2330.0 0.00155881
2340.0 0.00171043
2350.0 0.00175557
2360.0 0.00171943
2370.0 0.00187834
2380.0 0.00189589
2390.0 0.00182401
2400.0 0.00175758
2410.0 0.00165228
2420.0 0.0014468
2430.0 0.00122503
2440.0 0.00105469
2450.0 0.000897772
2460.0 0.000773891
2470.0 0.000678063
2480.0 0.000684057
2490.0 0.000739877
2500.0 0.000690403
2510.0 0.000641616
2520.0 0.000583863
2530.0 0.000462792
2540.0 0.000397937
2550.0 0.000340414
2560.0 0.000280165
2570.0 0.000270871
2580.0 0.000297905
2590.0 0.000349659
2600.0 0.00041165
2610.0 0.000489835
2620.0 0.00058254
2630.0 0.00071938
2640.0 0.000910676
2650.0 0.00108495
2660.0 0.00135944
2670.0 0.00143497
2680.0 0.0015735
2690.0 0.00162394
2700.0 0.00178806
2710.0 0.00190877
2720.0 0.00209443
2730.0 0.00260515
2740.0 0.00306718
2750.0 0.00341679
2760.0 0.00363688
2770.0 0.00368453
2780.0 0.00367634
2790.0 0.00390923
2800.0 0.00437148
2810.0 0.00463115
2820.0 0.00482288
2830.0 0.00500498
2840.0 0.00528996
2850.0 0.00583952
2860.0 0.00661436
2870.0 0.00711063
2880.0 0.0073048
2890.0 0.0073357
2900.0 0.00676853
2910.0 0.0063417
2920.0 0.0061808
2930.0 0.00585584
2940.0 0.00560024
2950.0 0.00535117
2960.0 0.00504121
2970.0 0.00485561
2980.0 0.00475336
2990.0 0.00459403
3000.0 0.0045431
3010.0 0.00461116
3020.0 0.0046561
3030.0 0.00454976
3040.0 0.00435843
3050.0 0.00409936
3060.0 0.00390759
3070.0 0.0038355
3080.0 0.00386674
3090.0 0.00406907
3100.0 0.00440407
3110.0 0.00472705
3120.0 0.00499748
3130.0 0.00501205
3140.0 0.00482676
3150.0 0.00458368
3160.0 0.00424047
3170.0 0.00376111
3180.0 0.00353455
3190.0 0.00334958
3200.0 0.00320906
3210.0 0.0031598
3220.0 0.00319254
3230.0 0.00323414
3240.0 0.00332093
3250.0 0.00353585
3260.0 0.00385062
3270.0 0.00431219
3280.0 0.0048611
3290.0 0.00551358
3300.0 0.00629951
3310.0 0.00697314
3320.0 0.00763434
3330.0 0.00817624
3340.0 0.00830604
3350.0 0.00850396
3360.0 0.00910604
3370.0 0.00962515
3380.0 0.0105981
3390.0 0.0114903
3400.0 0.0119017
3410.0 0.0120664
3420.0 0.0117935
3430.0 0.011318
3440.0 0.010836
3450.0 0.0101863
3460.0 0.00940654
3470.0 0.00870764
3480.0 0.00839988
3490.0 0.00787741
3500.0 0.00706123
3510.0 0.00640429
3520.0 0.00603452
3530.0 0.00583158
3540.0 0.0056009
3550.0 0.00551588
3560.0 0.00529249
3570.0 0.00493338
3580.0 0.00470679
3590.0 0.00462121
3600.0 0.00238525
3610.0 0.00297938
3620.0 0.00342653
3630.0 0.0038906
3640.0 0.00396787
3650.0 0.00385781
3660.0 0.00364137
3670.0 0.00428688
3680.0 0.00546651
3690.0 0.00579765
3700.0 0.00473835
3710.0 0.00535694
3720.0 0.00551662
3730.0 0.00516124
3740.0 0.00572362
3750.0 0.00613268
3760.0 0.00415386
3770.0 0.00343071
3780.0 0.00394982
3790.0 0.00280306
3800.0 0.00195778
3810.0 0.00285913
3820.0 0.00226872
3830.0 0.00284682
3840.0 0.00393358
3850.0 0.00605528
3860.0 0.00558859
3870.0 0.00661591
3880.0 0.00698665
3890.0 0.00703226
3900.0 0.0084493
3910.0 0.00862351
3920.0 0.00920114
3930.0 0.0107261
3940.0 0.012964
3950.0 0.0123808
3960.0 0.0133136
3970.0 0.0148238
3980.0 0.0152469
3990.0 0.0152361
4000.0 0.0145304
4010.0 0.0141952
4020.0 0.013398
4030.0 0.011884
4040.0 0.0104922
4050.0 0.0101665
4060.0 0.0109328
4070.0 0.0097199
4080.0 0.00912592
4090.0 0.00875384
4100.0 0.00863881
4110.0 0.0083119
4120.0 0.0076831
4130.0 0.00770522
4140.0 0.00727385
4150.0 0.00671875
4160.0 0.00635939
4170.0 0.00601175
4180.0 0.00665737
4190.0 0.00740269
4200.0 0.00689496
4210.0 0.00783716
4220.0 0.00753471
4230.0 0.00709842
4240.0 0.00768498
4250.0 0.00693655
4260.0 0.00699544
4270.0 0.00728099
4280.0 0.00727545
4290.0 0.0073
4300.0 0.00758115
4310.0 0.0070114
4320.0 0.0070291
4330.0 0.00691448
4340.0 0.00782085
4350.0 0.00736481
4360.0 0.006751
4370.0 0.00730954
4380.0 0.00646555
4390.0 0.00575399
4400.0 0.00602697
4410.0 0.00605978
4420.0 0.00590118
4430.0 0.00609589
4440.0 0.00640244
4450.0 0.00711433
4460.0 0.00778893
4470.0 0.00795468
4480.0 0.00775496
4490.0 0.0083086
4500.0 0.00921654
4510.0 0.0092352
4520.0 0.00989926
4530.0 0.0108882
4540.0 0.0118233
4550.0 0.0126969
4560.0 0.0144879
4570.0 0.0156881
4580.0 0.0168504
4590.0 0.0181546
4600.0 0.0178138
4610.0 0.0182056
4620.0 0.0174429
4630.0 0.0169971
4640.0 0.0166067
4650.0 0.0151085
4660.0 0.0140827
4670.0 0.0124138
4680.0 0.0105661
4690.0 0.00939052
4700.0 0.00864875
4710.0 0.00790228
4720.0 0.00767462
4730.0 0.00768878
4740.0 0.00782305
4750.0 0.00770192
4760.0 0.00779214
4770.0 0.00760687
4780.0 0.00804054
4790.0 0.00913733
4800.0 0.00983213
4810.0 0.010856
4820.0 0.0119106
4830.0 0.0128544
4840.0 0.0131778
4850.0 0.0119394
4860.0 0.011245
4870.0 0.0104433
4880.0 0.0103342
4890.0 0.0107493
4900.0 0.0120469
4910.0 0.0127881
4920.0 0.0139188
4930.0 0.0151789
4940.0 0.0161225
4950.0 0.0157686
4960.0 0.0160499
4970.0 0.0154609
4980.0 0.0138459
4990.0 0.0118768
5000.0 0.0103582
5010.0 0.00867452
5020.0 0.00804298
5030.0 0.00782137
5040.0 0.00784811
5050.0 0.00751374
5060.0 0.00726826
5070.0 0.00756415
5080.0 0.00762375
5090.0 0.0079993
5100.0 0.00841049
5110.0 0.00823377
5120.0 0.00886931
5130.0 0.00879489
5140.0 0.00850639
5150.0 0.00869923
5160.0 0.00874417
5170.0 0.0086261
5180.0 0.00944862
5190.0 0.00931831
5200.0 0.0100235
5210.0 0.0105062
5220.0 0.0112047
5230.0 0.0119203
5240.0 0.0122665
5250.0 0.012733
5260.0 0.0115934
5270.0 0.0131913
5280.0 0.0133652
5290.0 0.0137705
5300.0 0.0142801
5310.0 0.0144101
5320.0 0.0146125
5330.0 0.0143599
5340.0 0.0139932
5350.0 0.0134153
5360.0 0.0129229
5370.0 0.013067
5380.0 0.0130167
5390.0 0.0135209
5400.0 0.0140733
5410.0 0.0149498
5420.0 0.0160633
5430.0 0.0175972
5440.0 0.0195624
5450.0 0.0213481
5460.0 0.0225766
5470.0 0.0243
5480.0 0.0255421
5490.0 0.0260864
5500.0 0.0269064
5510.0 0.0281539
5520.0 0.0287995
5530.0 0.0282516
5540.0 0.0285762
5550.0 0.0281903
5560.0 0.0276673
5570.0 0.026947
5580.0 0.0264382
5590.0 0.0256061
5600.0 0.0255199
5610.0 0.0241995
5620.0 0.0236364
5630.0 0.0220475
5640.0 0.018739
5650.0 0.0152824
5660.0 0.0122881
5670.0 0.0110706
5680.0 0.0105693
5690.0 0.0124206
5700.0 0.014394
5710.0 0.0156622
5720.0 0.0160333
5730.0 0.0167465
5740.0 0.0162872
5750.0 0.0168708
5760.0 0.0168637
5770.0 0.0167721
5780.0 0.0170006
5790.0 0.0171852
5800.0 0.0177707
5810.0 0.0176788
5820.0 0.0180057
5830.0 0.0183023
5840.0 0.0183245
5850.0 0.0182376
5860.0 0.0183839
5870.0 0.0184901
5880.0 0.0184164
5890.0 0.01834
5900.0 0.0183295
5910.0 0.017666
5920.0 0.0176071
5930.0 0.0167888
5940.0 0.0165522
5950.0 0.016088
5960.0 0.0152671
5970.0 0.0153511
5980.0 0.015283
5990.0 0.0146378
6000.0 0.0143138
6010.0 0.014504
6020.0 0.0145793
6030.0 0.0143268
6040.0 0.0145501
6050.0 0.0144553
6060.0 0.0146485
6070.0 0.0143041
6080.0 0.0138022
6090.0 0.0137401
6100.0 0.0131592
6110.0 0.0131189
6120.0 0.0122897
6130.0 0.0116484
6140.0 0.010794
6150.0 0.0101486
6160.0 0.00969226
6170.0 0.00916108
6180.0 0.00852062
6190.0 0.00845108
6200.0 0.00859582
6210.0 0.00900564
6220.0 0.00938191
6230.0 0.00981867
6240.0 0.0102278
6250.0 0.0112156
6260.0 0.0116982
6270.0 0.0115469
6280.0 0.0118019
6290.0 0.011573
6300.0 0.0119369
6310.0 0.0129223
6320.0 0.0133076
6330.0 0.0138107
6340.0 0.0146727
6350.0 0.0147377
6360.0 0.0155977
6370.0 0.0162445
6380.0 0.0172721
6390.0 0.0181743
6400.0 0.0191793
6410.0 0.019864
6420.0 0.0206038
6430.0 0.0217571
6440.0 0.0228956
6450.0 0.0230018
6460.0 0.0236956
6470.0 0.0240442
6480.0 0.0247275
6490.0 0.0251508
6500.0 0.0251613
6510.0 0.025901
6520.0 0.0254173
6530.0 0.0249808
6540.0 0.0247489
6550.0 0.0245743
6560.0 0.0230124
6570.0 0.0223211
6580.0 0.0219525
6590.0 0.0211527
6600.0 0.0207616
6610.0 0.0195896
6620.0 0.0188132
6630.0 0.0180318
6640.0 0.0169326
6650.0 0.0157285
6660.0 0.0153632
6670.0 0.014232
6680.0 0.0137622
6690.0 0.0122185
6700.0 0.0124584
6710.0 0.011926
6720.0 0.0114515
6730.0 0.0112423
6740.0 0.0111634
6750.0 0.0111728
6760.0 0.0107273
6770.0 0.0111701
6780.0 0.0117137
6790.0 0.0114766
6800.0 0.0117992
6810.0 0.0118647
6820.0 0.01226
6830.0 0.0114341
6840.0 0.0116776
6850.0 0.0106314
6860.0 0.00792567
6870.0 0.00986834
6880.0 0.00938772
6890.0 0.00972839
6900.0 0.0101186
6910.0 0.0109635
6920.0 0.0109343
6930.0 0.0110354
6940.0 0.0112131
6950.0 0.0116911
6960.0 0.0123649
6970.0 0.0121051
6980.0 0.0120852
6990.0 0.0119021
7000.0 0.0117015
7010.0 0.0115993
7020.0 0.0116907
7030.0 0.0120465
7040.0 0.0114585
7050.0 0.0115451
7060.0 0.0116433
7070.0 0.0110254
7080.0 0.0113805
7090.0 0.0117153
7100.0 0.0114148
7110.0 0.0113647
7120.0 0.0116712
7130.0 0.0113312
7140.0 0.0113366
7150.0 0.0109033
7160.0 0.0104585
7170.0 0.01014
7180.0 0.0106466
7190.0 0.0109225
7200.0 0.0115133
7210.0 0.0116331
7220.0 0.0110376
7230.0 0.0114608
7240.0 0.0111541
7250.0 0.011001
7260.0 0.0112165
7270.0 0.0116164
7280.0 0.0106631
7290.0 0.0107028
7300.0 0.0112582
7310.0 0.0114378
7320.0 0.0113931
7330.0 0.0115323
7340.0 0.0114502
7350.0 0.0118219
7360.0 0.0116522
7370.0 0.0114396
7380.0 0.0108602
7390.0 0.0110587
7400.0 0.0108329
7410.0 0.0136757
7420.0 0.013645
7430.0 0.012457
7440.0 0.0106035
7450.0 0.00907686
7460.0 0.00785576
7470.0 0.00691823
7480.0 0.00651269
7490.0 0.00556537
7500.0 0.00512139
7510.0 0.00501574
7520.0 0.00612074
7530.0 0.00645031
7540.0 0.00713262
7550.0 0.0077822
7560.0 0.00863005
7570.0 0.0092132
7580.0 0.00489418
7590.0 0.00261682
7600.0 0.0063246
7610.0 0.00489087
7620.0 0.00541253
7630.0 0.00723323
7640.0 0.00851619
7650.0 0.00964864
7660.0 0.0114861
7670.0 0.0125217
7680.0 0.0126813
7690.0 0.0142243
7700.0 0.0146656
7710.0 0.014235
7720.0 0.0146682
7730.0 0.0164499
7740.0 0.0156368
7750.0 0.0153267
7760.0 0.0159334
7770.0 0.0163453
7780.0 0.015361
7790.0 0.0151204
7800.0 0.0163169
7810.0 0.016123
7820.0 0.0152266
7830.0 0.0156267
7840.0 0.0163846
7850.0 0.0158148
7860.0 0.0154953
7870.0 0.0159355
7880.0 0.0159756
7890.0 0.0150989
7900.0 0.0157938
7910.0 0.015114
7920.0 0.0141755
7930.0 0.0144851
7940.0 0.0143174
7950.0 0.0129955
7960.0 0.012918
7970.0 0.0135636
7980.0 0.0129038
7990.0 0.012085
8000.0 0.0123808
8010.0 0.0124947
8020.0 0.0116748
8030.0 0.0113167
8040.0 0.0123435
8050.0 0.0117757
8060.0 0.0106639
8070.0 0.0107874
8080.0 0.0106334
8090.0 0.00967593
8100.0 0.00772744
8110.0 0.00692786
8120.0 0.00644214
8130.0 0.00532337
8140.0 0.00434124
8150.0 0.00372996
8160.0 0.00340108
8170.0 0.00308505
8180.0 0.00236206
8190.0 0.00256775
8200.0 0.00254729
8210.0 0.00233012
8220.0 0.00296777
8230.0 0.00317015
8240.0 0.00327787
8250.0 0.00422543
8260.0 0.00448877
8270.0 0.00441851
8280.0 0.00372158
8290.0 0.00355378
8300.0 0.00334896
8310.0 0.00376173
8320.0 0.00344305
8330.0 0.00315128
8340.0 0.00406028
8350.0 0.00453296
8360.0 0.00456835
8370.0 0.004532
8380.0 0.00530069
8390.0 0.0059488
8400.0 0.0062395
8410.0 0.00650516
8420.0 0.00681919
8430.0 0.00803933
8440.0 0.00716881
8450.0 0.00769208
8460.0 0.00879561
8470.0 0.0093328
8480.0 0.00943832
8490.0 0.00910951
8500.0 0.00999416
8510.0 0.0110093
8520.0 0.0110612
8530.0 0.00998216
8540.0 0.0105045
8550.0 0.0108902
8560.0 0.0110713
8570.0 0.0111213
8580.0 0.0105125
8590.0 0.0109964
8600.0 0.011251
8610.0 0.01081
8620.0 0.0110702
8630.0 0.0106287
8640.0 0.0105681
8650.0 0.0101839
8660.0 0.00976832
8670.0 0.00957021
8680.0 0.00965649
8690.0 0.00950405
8700.0 0.00958072
8710.0 0.00852077
8720.0 0.00816501
8730.0 0.00788187
8740.0 0.00778568
8750.0 0.00799389
8760.0 0.00734202
8770.0 0.00761671
8780.0 0.00794357
8790.0 0.00844613
8800.0 0.00837335
8810.0 0.00787653
8820.0 0.00780126
8830.0 0.00847983
8840.0 0.00749222
8850.0 0.00686954
8860.0 0.00631453
8870.0 0.00578295
8880.0 0.00548977
8890.0 0.00450977
8900.0 0.00410442
8910.0 0.00515044
8920.0 0.00436148
8930.0 0.00420164
8940.0 0.00435412
8950.0 0.0041752
8960.0 0.00498944
8970.0 0.00519904
8980.0 0.00564015
8990.0 0.00576838
9000.0 0.00589542
9010.0 0.00616981
9020.0 0.00572303
9030.0 0.0055498
9040.0 0.0060873
9050.0 0.00572097
9060.0 0.00602022
9070.0 0.00596693
9080.0 0.0063152
9090.0 0.00660878
9100.0 0.00672261
9110.0 0.00658967
9120.0 0.00659915
9130.0 0.00681098
9140.0 0.00682069
9150.0 0.00686664
9160.0 0.00739537
9170.0 0.0074314
9180.0 0.00765032
9190.0 0.00753328
9200.0 0.00789206
9210.0 0.00729951
9220.0 0.00713008
9230.0 0.00672966
9240.0 0.00716127
9250.0 0.00745395
9260.0 0.00711999
9270.0 0.00705783
9280.0 0.00679925
9290.0 0.00660922
9300.0 0.00653338
9310.0 0.00639183
9320.0 0.00659188
9330.0 0.00662512
9340.0 0.00670157
9350.0 0.00671519
9360.0 0.00719183
9370.0 0.00741
9380.0 0.00768954
9390.0 0.00751758
9400.0 0.0073292
9410.0 0.00742734
9420.0 0.00771457
9430.0 0.00754205
9440.0 0.00776361
9450.0 0.00719522
9460.0 0.00772717
9470.0 0.00751786
9480.0 0.00774593
9490.0 0.00787863
9500.0 0.00758975
9510.0 0.00834071
9520.0 0.00819939
9530.0 0.00743293
9540.0 0.00735427
9550.0 0.00746484
9560.0 0.0067422
9570.0 0.00644737
9580.0 0.00649779
9590.0 0.00634673
9600.0 0.00613105
9610.0 0.00613934
9620.0 0.0060913
9630.0 0.00571872
9640.0 0.00637807
9650.0 0.0061728
9660.0 0.00586512
9670.0 0.00562435
9680.0 0.00559591
9690.0 0.00676194
9700.0 0.0055651
9710.0 0.00594946
9720.0 0.00627891
9730.0 0.00586804
9740.0 0.00535433
9750.0 0.0045011
9760.0 0.00524731
9770.0 0.00475397
9780.0 0.00548629
9790.0 0.00480734
9800.0 0.00494463
9810.0 0.00579117
9820.0 0.00579965
9830.0 0.00437361
9840.0 0.0053701
9850.0 0.0066287
9860.0 0.00545103
9870.0 0.00557099
9880.0 0.00464931
9890.0 0.00521135
9900.0 0.00500745
9910.0 0.00483522
9920.0 0.00466334
9930.0 0.00449177
9940.0 0.00447259
9950.0 0.00445351
9960.0 0.00443455
9970.0 0.00441574
9980.0 0.00439705
9990.0 0.00437848
10000.0 0.00436005
10010.0 0.00434174
10020.0 0.00432355
10030.0 0.00430551
10040.0 0.00428758
10050.0 0.00426978
10060.0 0.00425212
10070.0 0.00423457
10080.0 0.00421715
10090.0 0.00419987
10100.0 0.00418272
10110.0 0.00416567
10120.0 0.00414878
10130.0 0.004132
10140.0 0.00411534
10150.0 0.00409884
10160.0 0.00408244
10170.0 0.00406616
10180.0 0.00405004
10190.0 0.00403402
10200.0 0.00401813
10210.0 0.00400237
