#lamb flux
1000.0 0.0
1010.0 1.25951e-06
1020.0 1.41548e-06
1030.0 1.11992e-06
1040.0 8.91768e-07
1050.0 6.30814e-07
1060.0 3.93032e-07
1070.0 1.43036e-07
1080.0 1.79445e-07
1090.0 1.11554e-07
1100.0 7.68608e-08
1110.0 1.48679e-09
1120.0 4.88242e-13
1130.0 3.53576e-09
1140.0 1.58866e-07
1150.0 4.67798e-07
1160.0 4.61295e-07
1170.0 4.38699e-07
1180.0 4.49075e-07
1190.0 4.83546e-07
1200.0 3.67961e-07
1210.0 2.72661e-07
1220.0 3.8081e-07
1230.0 2.74281e-07
1240.0 1.7651e-07
1250.0 1.7574e-07
1260.0 1.75609e-08
1270.0 1.7751e-06
1280.0 1.10099e-06
1290.0 6.75066e-07
1300.0 3.07928e-06
1310.0 5.50816e-06
1320.0 8.36221e-06
1330.0 9.84833e-06
1340.0 8.33336e-06
1350.0 5.75239e-06
1360.0 3.94792e-06
1370.0 3.56194e-06
1380.0 2.58832e-06
1390.0 1.33619e-06
1400.0 7.17235e-07
1410.0 1.2142e-06
1420.0 4.05239e-06
1430.0 6.36465e-06
1440.0 8.41747e-06
1450.0 8.46019e-06
1460.0 9.50872e-06
1470.0 1.22933e-05
1480.0 1.33832e-05
1490.0 1.6043e-05
1500.0 1.75891e-05
1510.0 2.10559e-05
1520.0 1.76734e-05
1530.0 1.70951e-05
1540.0 1.61946e-05
1550.0 1.30772e-05
1560.0 1.09864e-05
1570.0 1.16587e-05
1580.0 1.36514e-05
1590.0 1.65742e-05
1600.0 1.89048e-05
1610.0 1.76134e-05
1620.0 1.97071e-05
1630.0 2.52914e-05
1640.0 3.74454e-05
1650.0 3.81383e-05
1660.0 4.33341e-05
1670.0 3.01142e-05
1680.0 2.85809e-05
1690.0 2.11852e-05
1700.0 1.87979e-05
1710.0 2.0641e-05
1720.0 2.50039e-05
1730.0 4.43669e-05
1740.0 6.95117e-05
1750.0 9.30554e-05
1760.0 0.000106559
1770.0 9.69474e-05
1780.0 0.000103686
1790.0 9.61875e-05
1800.0 7.96566e-05
1810.0 6.92437e-05
1820.0 5.37864e-05
