#lamb flux
1605.0 0.0397
1610.0 0.0399
1615.0 0.0401
1620.0 0.0403
1625.0 0.0405
1630.0 0.0406
1635.0 0.0408
1640.0 0.041
1645.0 0.0412
1650.0 0.0414
1655.0 0.0416
1660.0 0.0418
1665.0 0.042
1670.0 0.0422
1675.0 0.0424
1680.0 0.0426
1685.0 0.0429
1690.0 0.0431
1695.0 0.0433
1700.0 0.0435
1705.0 0.0437
1710.0 0.0439
1715.0 0.0441
1720.0 0.0443
1725.0 0.0445
1730.0 0.0447
1735.0 0.0449
1740.0 0.0451
1745.0 0.0453
1750.0 0.0455
1755.0 0.0457
1760.0 0.0459
1765.0 0.0461
1770.0 0.0464
1775.0 0.0466
1780.0 0.0468
1785.0 0.047
1790.0 0.0472
1795.0 0.0474
1800.0 0.0476
1805.0 0.0478
1810.0 0.048
1815.0 0.0483
1820.0 0.0485
1825.0 0.0487
1830.0 0.0489
1835.0 0.0491
1840.0 0.0493
1845.0 0.0495
1850.0 0.0497
1855.0 0.05
1860.0 0.0502
1865.0 0.0504
1870.0 0.0506
1875.0 0.0508
1880.0 0.051
1885.0 0.0512
1890.0 0.0515
1895.0 0.0517
1900.0 0.0519
1905.0 0.0521
1910.0 0.0523
1915.0 0.0525
1920.0 0.0527
1925.0 0.053
1930.0 0.0532
1935.0 0.0534
1940.0 0.0536
1945.0 0.0538
1950.0 0.054
1955.0 0.0542
1960.0 0.0545
1965.0 0.0547
1970.0 0.0549
1975.0 0.0551
1980.0 0.0553
1985.0 0.0555
1990.0 0.0557
1995.0 0.0559
2000.0 0.0561
2005.0 0.0564
2010.0 0.0566
2015.0 0.0568
2020.0 0.057
2025.0 0.0572
2030.0 0.0574
2035.0 0.0576
2040.0 0.0578
2045.0 0.0579
2050.0 0.0581
2055.0 0.0583
2060.0 0.0585
2065.0 0.0587
2070.0 0.0589
2075.0 0.0591
2080.0 0.0592
2085.0 0.0594
2090.0 0.0595
2095.0 0.0597
2100.0 0.0599
2105.0 0.06
2110.0 0.0602
2115.0 0.0603
2120.0 0.0605
2125.0 0.0606
2130.0 0.0608
2135.0 0.0609
2140.0 0.061
2145.0 0.0612
2150.0 0.0613
2155.0 0.0615
2160.0 0.0616
2165.0 0.0617
2170.0 0.0619
2175.0 0.062
2180.0 0.0621
2185.0 0.0623
2190.0 0.0624
2195.0 0.0625
2200.0 0.0626
2205.0 0.0627
2210.0 0.0628
2215.0 0.0629
2220.0 0.0631
2225.0 0.0632
2230.0 0.0633
2235.0 0.0633
2240.0 0.0634
2245.0 0.0635
2250.0 0.0636
2255.0 0.0636
2260.0 0.0637
2265.0 0.0638
2270.0 0.0638
2275.0 0.0639
2280.0 0.0639
2285.0 0.064
2290.0 0.064
2295.0 0.0641
2300.0 0.0641
2305.0 0.0642
2310.0 0.0642
2315.0 0.0643
2320.0 0.0643
2325.0 0.0644
2330.0 0.0644
2335.0 0.0645
2340.0 0.0645
2345.0 0.0646
2350.0 0.0646
2355.0 0.0647
2360.0 0.0647
2365.0 0.0648
2370.0 0.0648
2375.0 0.0649
2380.0 0.065
2385.0 0.065
2390.0 0.0651
2395.0 0.0652
2400.0 0.0652
2405.0 0.0653
2410.0 0.0654
2415.0 0.0654
2420.0 0.0655
2425.0 0.0656
2430.0 0.0657
2435.0 0.0658
2440.0 0.0658
2445.0 0.0659
2450.0 0.066
2455.0 0.0661
2460.0 0.0662
2465.0 0.0663
2470.0 0.0664
2475.0 0.0665
2480.0 0.0666
2485.0 0.0667
2490.0 0.0668
2495.0 0.0669
2500.0 0.067
2505.0 0.0671
2510.0 0.0672
2515.0 0.0673
2520.0 0.0674
2525.0 0.0675
2530.0 0.0677
2535.0 0.0678
2540.0 0.0679
2545.0 0.068
2550.0 0.0681
2555.0 0.0682
2560.0 0.0683
2565.0 0.0684
2570.0 0.0685
2575.0 0.0686
