#lamb flux
1605.0 0.000275
1610.0 0.000275
1615.0 0.000275
1620.0 0.000275
1625.0 0.000276
1630.0 0.000276
1635.0 0.000276
1640.0 0.000277
1645.0 0.000277
1650.0 0.000277
1655.0 0.000277
1660.0 0.000278
1665.0 0.000278
1670.0 0.000278
1675.0 0.000279
1680.0 0.000279
1685.0 0.000279
1690.0 0.00028
1695.0 0.00028
1700.0 0.00028
1705.0 0.000281
1710.0 0.000281
1715.0 0.000281
1720.0 0.000282
1725.0 0.000282
1730.0 0.000282
1735.0 0.000283
1740.0 0.000283
1745.0 0.000283
1750.0 0.000284
1755.0 0.000284
1760.0 0.000284
1765.0 0.000285
1770.0 0.000285
1775.0 0.000285
1780.0 0.000286
1785.0 0.000286
1790.0 0.000286
1795.0 0.000287
1800.0 0.000287
1805.0 0.000288
1810.0 0.000288
1815.0 0.000288
1820.0 0.000289
1825.0 0.000289
1830.0 0.00029
1835.0 0.00029
1840.0 0.00029
1845.0 0.000291
1850.0 0.000291
1855.0 0.000292
1860.0 0.000292
1865.0 0.000292
1870.0 0.000293
1875.0 0.000293
1880.0 0.000294
1885.0 0.000294
1890.0 0.000295
1895.0 0.000295
1900.0 0.000296
1905.0 0.000296
1910.0 0.000296
1915.0 0.000297
1920.0 0.000297
1925.0 0.000298
1930.0 0.000298
1935.0 0.000299
1940.0 0.000299
1945.0 0.0003
1950.0 0.0003
1955.0 0.000301
1960.0 0.000301
1965.0 0.000302
1970.0 0.000302
1975.0 0.000303
1980.0 0.000303
1985.0 0.000304
1990.0 0.000304
1995.0 0.000305
2000.0 0.000305
2005.0 0.000306
2010.0 0.000307
2015.0 0.000307
2020.0 0.000308
2025.0 0.000308
2030.0 0.000309
2035.0 0.000309
2040.0 0.00031
2045.0 0.00031
2050.0 0.000311
2055.0 0.000312
2060.0 0.000312
2065.0 0.000313
2070.0 0.000313
2075.0 0.000314
2080.0 0.000315
2085.0 0.000315
2090.0 0.000316
2095.0 0.000316
2100.0 0.000317
2105.0 0.000318
2110.0 0.000318
2115.0 0.000319
2120.0 0.00032
2125.0 0.00032
2130.0 0.000321
2135.0 0.000322
2140.0 0.000322
2145.0 0.000323
2150.0 0.000324
2155.0 0.000324
2160.0 0.000325
2165.0 0.000326
2170.0 0.000326
2175.0 0.000327
2180.0 0.000328
2185.0 0.000329
2190.0 0.000329
2195.0 0.00033
2200.0 0.000331
2205.0 0.000332
2210.0 0.000332
2215.0 0.000333
2220.0 0.000334
2225.0 0.000335
2230.0 0.000335
2235.0 0.000336
2240.0 0.000337
2245.0 0.000338
2250.0 0.000339
2255.0 0.000339
2260.0 0.00034
2265.0 0.000341
2270.0 0.000342
2275.0 0.000343
2280.0 0.000344
2285.0 0.000344
2290.0 0.000345
2295.0 0.000346
2300.0 0.000347
2305.0 0.000348
2310.0 0.000349
2315.0 0.00035
2320.0 0.000351
2325.0 0.000351
2330.0 0.000352
2335.0 0.000353
2340.0 0.000354
2345.0 0.000355
2350.0 0.000356
2355.0 0.000357
2360.0 0.000358
2365.0 0.000359
2370.0 0.00036
2375.0 0.000361
2380.0 0.000362
2385.0 0.000363
2390.0 0.000364
2395.0 0.000365
2400.0 0.000366
2405.0 0.000367
2410.0 0.000368
2415.0 0.000369
2420.0 0.00037
2425.0 0.000371
2430.0 0.000372
2435.0 0.000373
2440.0 0.000374
2445.0 0.000375
2450.0 0.000376
2455.0 0.000378
2460.0 0.000379
2465.0 0.00038
2470.0 0.000381
2475.0 0.000382
2480.0 0.000383
2485.0 0.000384
2490.0 0.000386
2495.0 0.000387
2500.0 0.000388
2505.0 0.000389
2510.0 0.00039
2515.0 0.000392
2520.0 0.000393
2525.0 0.000394
2530.0 0.000395
2535.0 0.000396
2540.0 0.000398
2545.0 0.000399
2550.0 0.0004
2555.0 0.000401
2560.0 0.000403
2565.0 0.000404
2570.0 0.000405
2575.0 0.000407
2580.0 0.000408
2585.0 0.000409
2590.0 0.000411
2595.0 0.000412
2600.0 0.000413
2605.0 0.000415
2610.0 0.000416
2615.0 0.000418
2620.0 0.000419
2625.0 0.00042
2630.0 0.000422
2635.0 0.000423
2640.0 0.000425
2645.0 0.000426
2650.0 0.000428
2655.0 0.000429
2660.0 0.000431
2665.0 0.000432
2670.0 0.000434
2675.0 0.000435
2680.0 0.000437
2685.0 0.000438
2690.0 0.00044
2695.0 0.000441
2700.0 0.000443
2705.0 0.000445
2710.0 0.000446
2715.0 0.000448
2720.0 0.00045
2725.0 0.000451
2730.0 0.000453
2735.0 0.000454
2740.0 0.000456
2745.0 0.000458
2750.0 0.00046
2755.0 0.000461
2760.0 0.000463
2765.0 0.000465
2770.0 0.000467
2775.0 0.000468
2780.0 0.00047
2785.0 0.000472
2790.0 0.000474
2795.0 0.000476
2800.0 0.000478
2805.0 0.000479
2810.0 0.000481
2815.0 0.000483
2820.0 0.000485
2825.0 0.000487
2830.0 0.000489
2835.0 0.000491
2840.0 0.000493
2845.0 0.000495
2850.0 0.000497
2855.0 0.000499
2860.0 0.000501
2865.0 0.000503
2870.0 0.000505
2875.0 0.000508
2880.0 0.00051
2885.0 0.000512
2890.0 0.000514
2895.0 0.000516
2900.0 0.000519
2905.0 0.000521
2910.0 0.000523
2915.0 0.000526
2920.0 0.000528
2925.0 0.00053
2930.0 0.000533
2935.0 0.000535
2940.0 0.000537
2945.0 0.00054
2950.0 0.000542
2955.0 0.000545
2960.0 0.000548
2965.0 0.00055
2970.0 0.000553
2975.0 0.000555
2980.0 0.000558
2985.0 0.00056
2990.0 0.000563
2995.0 0.000566
3000.0 0.000569
3005.0 0.000572
3010.0 0.000574
3015.0 0.000577
3020.0 0.00058
3025.0 0.000583
3030.0 0.000586
3035.0 0.000589
3040.0 0.000593
3045.0 0.000596
3050.0 0.000599
3055.0 0.000602
3060.0 0.000605
3065.0 0.000609
3070.0 0.000612
3075.0 0.000616
3080.0 0.000619
3085.0 0.000623
3090.0 0.000626
3095.0 0.00063
3100.0 0.000634
3105.0 0.000637
3110.0 0.000641
3115.0 0.000645
3120.0 0.000649
3125.0 0.000653
3130.0 0.000657
3135.0 0.000662
3140.0 0.000666
3145.0 0.00067
3150.0 0.000675
3155.0 0.000679
3160.0 0.000684
3165.0 0.000688
3170.0 0.000693
3175.0 0.000698
3180.0 0.000703
3185.0 0.000708
3190.0 0.000713
3195.0 0.000718
3200.0 0.000723
3205.0 0.000729
3210.0 0.000734
3215.0 0.00074
3220.0 0.000745
3225.0 0.000751
3230.0 0.000757
3235.0 0.000763
3240.0 0.00077
3245.0 0.000776
3250.0 0.000782
3255.0 0.000789
3260.0 0.000796
3265.0 0.000803
3270.0 0.00081
3275.0 0.000817
3280.0 0.000824
3285.0 0.000832
3290.0 0.00084
3295.0 0.000847
3300.0 0.000856
3305.0 0.000864
3310.0 0.000872
3315.0 0.000881
3320.0 0.00089
3325.0 0.000899
3330.0 0.000908
3335.0 0.000917
3340.0 0.000927
3345.0 0.000937
3350.0 0.000947
3355.0 0.000958
3360.0 0.000968
3365.0 0.000979
3370.0 0.00099
3375.0 0.001
3380.0 0.00101
3385.0 0.00103
3390.0 0.00104
3395.0 0.00105
3400.0 0.00106
3405.0 0.00108
3410.0 0.00109
3415.0 0.0011
3420.0 0.00112
3425.0 0.00113
3430.0 0.00115
3435.0 0.00116
3440.0 0.00118
3445.0 0.00119
3450.0 0.00121
3455.0 0.00123
3460.0 0.00124
3465.0 0.00126
3470.0 0.00128
3475.0 0.0013
3480.0 0.00132
3485.0 0.00134
3490.0 0.00136
3495.0 0.00138
3500.0 0.0014
3505.0 0.00142
3510.0 0.00144
3515.0 0.00146
3520.0 0.00148
3525.0 0.00151
3530.0 0.00153
3535.0 0.00155
3540.0 0.00158
3545.0 0.0016
3550.0 0.00163
3555.0 0.00165
3560.0 0.00168
3565.0 0.00171
3570.0 0.00173
3575.0 0.00176
3580.0 0.00179
