#lamb flux
1605.0 0.000241
1610.0 0.000242
1615.0 0.000244
1620.0 0.000246
1625.0 0.000247
1630.0 0.000249
1635.0 0.000251
1640.0 0.000252
1645.0 0.000254
1650.0 0.000256
1655.0 0.000258
1660.0 0.000259
1665.0 0.000261
1670.0 0.000263
1675.0 0.000265
1680.0 0.000267
1685.0 0.000268
1690.0 0.00027
1695.0 0.000272
1700.0 0.000274
1705.0 0.000276
1710.0 0.000278
1715.0 0.00028
1720.0 0.000281
1725.0 0.000283
1730.0 0.000285
1735.0 0.000287
1740.0 0.000289
1745.0 0.000291
1750.0 0.000293
1755.0 0.000295
1760.0 0.000297
1765.0 0.000299
1770.0 0.000301
1775.0 0.000303
1780.0 0.000305
1785.0 0.000307
1790.0 0.000309
1795.0 0.000311
1800.0 0.000313
1805.0 0.000315
1810.0 0.000317
1815.0 0.000319
1820.0 0.000321
1825.0 0.000323
1830.0 0.000325
1835.0 0.000327
1840.0 0.000329
1845.0 0.000331
1850.0 0.000333
1855.0 0.000335
1860.0 0.000337
1865.0 0.000339
1870.0 0.000341
1875.0 0.000343
1880.0 0.000345
1885.0 0.000347
1890.0 0.000349
1895.0 0.000351
1900.0 0.000353
1905.0 0.000355
1910.0 0.000357
1915.0 0.000359
1920.0 0.00036
1925.0 0.000362
1930.0 0.000364
1935.0 0.000366
1940.0 0.000368
1945.0 0.00037
1950.0 0.000372
1955.0 0.000374
1960.0 0.000376
1965.0 0.000378
1970.0 0.00038
1975.0 0.000381
1980.0 0.000383
1985.0 0.000385
1990.0 0.000387
1995.0 0.000389
2000.0 0.000391
2005.0 0.000392
2010.0 0.000394
2015.0 0.000396
2020.0 0.000398
2025.0 0.000399
2030.0 0.000401
2035.0 0.000403
2040.0 0.000404
2045.0 0.000406
2050.0 0.000408
2055.0 0.000409
2060.0 0.000411
2065.0 0.000412
2070.0 0.000414
2075.0 0.000416
2080.0 0.000417
2085.0 0.000418
2090.0 0.00042
2095.0 0.000421
2100.0 0.000423
2105.0 0.000424
2110.0 0.000425
2115.0 0.000427
2120.0 0.000428
2125.0 0.000429
2130.0 0.00043
2135.0 0.000432
2140.0 0.000433
2145.0 0.000434
2150.0 0.000435
2155.0 0.000436
2160.0 0.000437
2165.0 0.000438
2170.0 0.000439
2175.0 0.00044
2180.0 0.000441
2185.0 0.000442
2190.0 0.000443
2195.0 0.000444
2200.0 0.000445
2205.0 0.000445
2210.0 0.000446
2215.0 0.000447
2220.0 0.000448
2225.0 0.000448
2230.0 0.000449
2235.0 0.00045
2240.0 0.00045
2245.0 0.000451
2250.0 0.000451
2255.0 0.000451
2260.0 0.000452
2265.0 0.000452
2270.0 0.000453
2275.0 0.000453
2280.0 0.000454
2285.0 0.000454
2290.0 0.000454
2295.0 0.000454
2300.0 0.000454
2305.0 0.000455
2310.0 0.000455
2315.0 0.000455
2320.0 0.000455
2325.0 0.000455
2330.0 0.000455
2335.0 0.000455
2340.0 0.000455
2345.0 0.000455
2350.0 0.000455
2355.0 0.000455
2360.0 0.000454
2365.0 0.000454
2370.0 0.000454
2375.0 0.000454
2380.0 0.000453
2385.0 0.000453
2390.0 0.000453
2395.0 0.000453
2400.0 0.000452
2405.0 0.000452
2410.0 0.000451
2415.0 0.000451
2420.0 0.00045
2425.0 0.00045
2430.0 0.00045
2435.0 0.000449
2440.0 0.000448
2445.0 0.000448
2450.0 0.000447
2455.0 0.000447
2460.0 0.000446
2465.0 0.000445
2470.0 0.000445
2475.0 0.000444
2480.0 0.000443
2485.0 0.000443
2490.0 0.000442
2495.0 0.000441
2500.0 0.00044
2505.0 0.00044
2510.0 0.000439
2515.0 0.000438
2520.0 0.000437
2525.0 0.000436
2530.0 0.000436
2535.0 0.000435
2540.0 0.000434
2545.0 0.000433
2550.0 0.000432
