#lamb flux
1010.0 2.7253e-06
1030.0 3.0041e-06
1050.0 3.3945e-06
1070.0 3.997e-06
1090.0 4.7502e-06
1110.0 5.5449e-06
1130.0 6.3651e-06
1150.0 7.2374e-06
1170.0 8.1371e-06
1190.0 8.9715e-06
1210.0 9.7752e-06
1230.0 1.0538e-05
1250.0 1.1277e-05
1270.0 1.1882e-05
1290.0 1.239e-05
1310.0 1.2747e-05
1330.0 1.2921e-05
1350.0 1.2951e-05
1370.0 1.2858e-05
1390.0 1.2623e-05
1410.0 1.2268e-05
1430.0 1.185e-05
1450.0 1.1368e-05
1470.0 1.0832e-05
1490.0 1.0279e-05
1510.0 9.7371e-06
1530.0 9.186e-06
1550.0 8.6518e-06
1570.0 8.1525e-06
1590.0 7.6853e-06
1610.0 7.2776e-06
1630.0 7.055e-06
1650.0 6.8977e-06
1670.0 6.8033e-06
1690.0 6.7801e-06
1710.0 6.8408e-06
1730.0 6.983e-06
1750.0 7.1991e-06
1770.0 7.5107e-06
1790.0 7.9221e-06
1810.0 8.4292e-06
1830.0 9.0405e-06
1850.0 9.7787e-06
1870.0 1.0632e-05
1890.0 1.1602e-05
1910.0 1.2706e-05
1930.0 1.3948e-05
1950.0 1.5308e-05
1970.0 1.6793e-05
1990.0 1.8415e-05
2010.0 2.0149e-05
2030.0 2.1976e-05
2050.0 2.3908e-05
2070.0 2.5932e-05
2090.0 2.7993e-05
2110.0 3.0094e-05
2130.0 3.2235e-05
2150.0 3.4373e-05
2170.0 3.647e-05
2190.0 3.8558e-05
2210.0 4.0605e-05
2230.0 4.2567e-05
2250.0 4.4456e-05
2270.0 4.63e-05
2290.0 4.8045e-05
2310.0 4.9682e-05
2330.0 5.1267e-05
2350.0 5.2796e-05
2370.0 5.4248e-05
2390.0 5.5689e-05
2410.0 5.7197e-05
2430.0 5.8762e-05
2450.0 6.0448e-05
2470.0 6.2392e-05
2490.0 6.4668e-05
2510.0 6.7185e-05
2530.0 7.0146e-05
2550.0 7.3765e-05
2570.0 7.8103e-05
2590.0 8.3373e-05
2610.0 9.0449e-05
2630.0 9.9447e-05
2650.0 0.00011008
2670.0 0.00012267
2690.0 0.00013708
2710.0 0.00015181
2730.0 0.00016621
2750.0 0.00018069
2770.0 0.00019444
2790.0 0.00020734
2810.0 0.00022038
2830.0 0.00023446
2850.0 0.00024881
2870.0 0.00026407
2890.0 0.00028084
2910.0 0.00029862
2930.0 0.00031669
2950.0 0.00033608
2970.0 0.00035657
2990.0 0.0003773
3010.0 0.00039862
3030.0 0.00042122
3050.0 0.00044445
3070.0 0.00046715
3090.0 0.00049029
3110.0 0.00051291
3130.0 0.00053348
3150.0 0.00055147
3170.0 0.00056621
3190.0 0.00057669
3210.0 0.0005837
3230.0 0.00058777
3250.0 0.0005894
3270.0 0.00059034
3290.0 0.0005914
3310.0 0.00059292
3330.0 0.00059536
3350.0 0.00059851
3370.0 0.00060204
3390.0 0.00059977
3410.0 0.00059886
3430.0 0.00060408
3450.0 0.00060788
3470.0 0.0006056
3490.0 0.00063817
3510.0 0.00076258
3530.0 0.00094331
3550.0 0.0010652
3570.0 0.0011756
3590.0 0.0013233
3610.0 0.0013223
3630.0 0.0012167
3650.0 0.0012516
3670.0 0.0014532
3690.0 0.0016374
3710.0 0.0017043
3730.0 0.0017138
3750.0 0.0018093
3770.0 0.0018161
3790.0 0.0017369
3810.0 0.0016423
3830.0 0.0015555
3850.0 0.001559
3870.0 0.0016267
3890.0 0.0016738
3910.0 0.0016878
3930.0 0.0016877
3950.0 0.0018083
3970.0 0.001947
3990.0 0.0019019
4010.0 0.0017026
4030.0 0.0015401
4050.0 0.001539
4070.0 0.0016069
4090.0 0.0015904
4110.0 0.0015345
4130.0 0.0015289
4150.0 0.0016026
4170.0 0.0017578
4190.0 0.0018219
4210.0 0.0017026
4230.0 0.0015568
4250.0 0.0014592
4270.0 0.0013991
4290.0 0.0013992
4310.0 0.0014286
4330.0 0.0013668
4350.0 0.0012258
4370.0 0.0011064
4390.0 0.0010244
4410.0 0.00098461
4430.0 0.0010189
4450.0 0.0011193
4470.0 0.0012277
4490.0 0.0013058
4510.0 0.0014267
4530.0 0.0016392
