#lamb flux
1010.0 3.3782e-05
1030.0 3.8913e-05
1050.0 4.2159e-05
1070.0 4.2374e-05
1090.0 3.8482e-05
1110.0 2.8422e-05
1130.0 1.2821e-05
1150.0 5.2566e-06
1170.0 1e-99
1190.0 1e-99
1210.0 1e-99
1230.0 1e-99
1250.0 1e-99
1270.0 1e-99
1290.0 1e-99
1310.0 1e-99
1330.0 1e-99
1350.0 1e-99
1370.0 1e-99
1390.0 1e-99
1410.0 1e-99
1430.0 1e-99
1450.0 1e-99
1470.0 1e-99
1490.0 1e-99
1510.0 1e-99
1530.0 1e-99
1550.0 1e-99
1570.0 9.8951e-05
1590.0 0.00020084
1610.0 0.00030293
1630.0 0.00040422
1650.0 0.00050376
1670.0 0.00059971
1690.0 0.00069148
1710.0 0.00077968
1730.0 0.00086353
1750.0 0.00094122
1770.0 0.0010148
1790.0 0.0010844
1810.0 0.0011487
1830.0 0.0012083
1850.0 0.0012656
1870.0 0.0013184
1890.0 0.0013666
1910.0 0.0014119
1930.0 0.0014548
1950.0 0.0014932
1970.0 0.0015283
1990.0 0.0015619
2010.0 0.0015924
2030.0 0.0016194
2050.0 0.0016449
2070.0 0.0016689
2090.0 0.0016889
2110.0 0.0017069
2130.0 0.0017238
2150.0 0.0017384
2170.0 0.0017501
2190.0 0.0017614
2210.0 0.0017715
2230.0 0.0017794
2250.0 0.0017861
2270.0 0.0017932
2290.0 0.0017988
2310.0 0.0018027
2330.0 0.0018071
2350.0 0.0018114
2370.0 0.0018146
2390.0 0.0018181
2410.0 0.0018232
2430.0 0.0018282
2450.0 0.0018345
2470.0 0.001845
2490.0 0.0018623
2510.0 0.0018871
2530.0 0.0019266
2550.0 0.0019891
2570.0 0.0020788
2590.0 0.0022006
2610.0 0.0023771
2630.0 0.0026087
2650.0 0.0028859
2670.0 0.0032201
2690.0 0.0036128
2710.0 0.0040287
2730.0 0.0044519
2750.0 0.0048959
2770.0 0.005324
2790.0 0.0057138
2810.0 0.0060745
2830.0 0.0064074
2850.0 0.0066867
2870.0 0.0069337
2890.0 0.007162
2910.0 0.0073745
2930.0 0.0075767
2950.0 0.0077813
2970.0 0.0079904
2990.0 0.0082015
3010.0 0.0084165
3030.0 0.0086381
3050.0 0.0088617
3070.0 0.0090809
3090.0 0.0093018
3110.0 0.0095261
3130.0 0.0097586
3150.0 0.010122
3170.0 0.010556
3190.0 0.011136
3210.0 0.011888
3230.0 0.01284
3250.0 0.013823
3270.0 0.014354
3290.0 0.015862
3310.0 0.020291
3330.0 0.021248
3350.0 0.021355
3370.0 0.021406
3390.0 0.021465
3410.0 0.021569
3430.0 0.02171
3450.0 0.021858
3470.0 0.02198
3490.0 0.022153
3510.0 0.022564
3530.0 0.022605
3550.0 0.021808
3570.0 0.020801
3590.0 0.020625
3610.0 0.02175
3630.0 0.020632
3650.0 0.019124
3670.0 0.018012
3690.0 0.018017
3710.0 0.018945
3730.0 0.019539
3750.0 0.019795
3770.0 0.020512
3790.0 0.021377
3810.0 0.020631
3830.0 0.019484
3850.0 0.0189
3870.0 0.018815
3890.0 0.018351
3910.0 0.017827
3930.0 0.017918
3950.0 0.018634
3970.0 0.019485
3990.0 0.020324
4010.0 0.01974
4030.0 0.019182
4050.0 0.019118
4070.0 0.019144
4090.0 0.019102
4110.0 0.018763
4130.0 0.018123
4150.0 0.017562
4170.0 0.017448
4190.0 0.016607
4210.0 0.015625
4230.0 0.014474
4250.0 0.01341
4270.0 0.012778
4290.0 0.012086
4310.0 0.01193
4330.0 0.012307
4350.0 0.01234
4370.0 0.01285
4390.0 0.013468
4410.0 0.014051
4430.0 0.013675
4450.0 0.012856
4470.0 0.012237
4490.0 0.011869
4510.0 0.011774
4530.0 0.01185
4550.0 0.011951
4570.0 0.012112
4590.0 0.012441
4610.0 0.013212
4630.0 0.013719
4650.0 0.014112
4670.0 0.013846
4690.0 0.013194
4710.0 0.012453
4730.0 0.012056
4750.0 0.011779
4770.0 0.012099
4790.0 0.011975
4810.0 0.011666
4830.0 0.012111
4850.0 0.012073
4870.0 0.012587
4890.0 0.011902
4910.0 0.01115
4930.0 0.010295
4950.0 0.0096098
4970.0 0.0087842
4990.0 0.0081042
5010.0 0.0080803
5030.0 0.0082996
5050.0 0.0080634
5070.0 0.0082392
5090.0 0.0085733
5110.0 0.0085033
5130.0 0.0084486
5150.0 0.0083719
5170.0 0.0084858
5190.0 0.0086419
5210.0 0.008366
5230.0 0.0082358
5250.0 0.0080008
5270.0 0.007682
5290.0 0.0076027
5310.0 0.0076136
5330.0 0.0073307
5350.0 0.0073063
