#lamb flux
1000.0 1.0555531136999172e-24
1010.0 5.53543867015195e-08
1020.0 6.220888703858938e-08
1030.0 4.921965040673963e-08
1040.0 3.9192551163820035e-08
1050.0 2.77236853157212e-08
1060.0 1.7273475374130675e-08
1070.0 6.28629182438425e-09
1080.0 7.88645282988492e-09
1090.0 4.902667554744334e-09
1100.0 3.3779627872147195e-09
1110.0 6.53428271591e-11
1120.0 2.1457848258200132e-14
1130.0 1.5539391216788344e-10
1140.0 6.982040167766818e-09
1150.0 2.0559321446347293e-08
1160.0 2.0273514828838852e-08
1170.0 1.9280480655981316e-08
1180.0 1.9736433549089748e-08
1190.0 2.1251467245972097e-08
1200.0 1.6171555868540094e-08
1210.0 1.1983232507416768e-08
1220.0 1.673628568447725e-08
1230.0 1.2054416698578699e-08
1240.0 7.757474539960876e-09
1250.0 7.723607692104185e-09
1260.0 7.717896377719965e-10
1270.0 7.801416292284833e-08
1280.0 4.838743861514061e-08
1290.0 2.9668580676809908e-08
1300.0 1.3533115147925503e-07
1310.0 2.420784710017869e-07
1320.0 3.6751056277455405e-07
1330.0 4.3282579622423624e-07
1340.0 3.6624282914059293e-07
1350.0 2.528122270859928e-07
1360.0 1.735073703872409e-07
1370.0 1.5654406634296743e-07
1380.0 1.137545124971777e-07
1390.0 5.872432171862779e-08
1400.0 3.1521907042409765e-08
1410.0 5.3363259778728435e-08
1420.0 1.7809890073978144e-07
1430.0 2.797205706021399e-07
1440.0 3.699409971920891e-07
1450.0 3.718171811289137e-07
1460.0 4.1790085827740307e-07
1470.0 5.402804299011574e-07
1480.0 5.88182714787961e-07
1490.0 7.050738474322226e-07
1500.0 7.730235181059749e-07
1510.0 9.253879711927204e-07
1520.0 7.767346210260423e-07
1530.0 7.513111192927456e-07
1540.0 7.117374221599171e-07
1550.0 5.747294606432935e-07
1560.0 4.82839918187581e-07
1570.0 5.123906763166817e-07
1580.0 5.999673230598219e-07
1590.0 7.284216420787806e-07
1600.0 8.308524155682035e-07
1610.0 7.740940450384406e-07
1620.0 8.661093308916091e-07
1630.0 1.1115325874289288e-06
1640.0 1.6456900942936183e-06
1650.0 1.6761510993820738e-06
1660.0 1.9044931266606048e-06
1670.0 1.3234880690600203e-06
1680.0 1.256102470222769e-06
1690.0 9.310736139253663e-07
1700.0 8.261519616517791e-07
1710.0 9.071487641046888e-07
1720.0 1.0988992199490356e-06
1730.0 1.9498909466664745e-06
1740.0 3.0549783242353863e-06
1750.0 4.089701394677148e-06
1760.0 4.6831688580985555e-06
1770.0 4.260760612421968e-06
1780.0 4.5569013222745275e-06
1790.0 4.227336621786305e-06
