#lamb flux
1000.0 1.2630939409148918e+38
1416.6666666666667 1.712555124334214e+39
1833.3333333333335 4.9303518474568907e+39
2250.0 7.657504565272472e+39
2666.666666666667 1.0368683768800592e+40
3083.3333333333335 1.1206173850597385e+40
3500.0 1.0022551680074093e+40
3916.666666666667 8.670123264522902e+39
4333.333333333334 7.347762412054915e+39
4750.0 6.190652155487168e+39
5166.666666666667 5.2072787342844017e+39
5583.333333333334 4.377131591657848e+39
6000.0 3.6814748267979304e+39
6416.666666666667 3.1035658774995227e+39
6833.333333333334 2.6265913610570986e+39
7250.0 2.2338681186931985e+39
7666.666666666667 1.9099180795262697e+39
8083.333333333334 1.6412868155297467e+39
8500.0 1.416842384997231e+39
8916.666666666668 1.227683675115432e+39
9333.333333333334 1.0672858723503515e+39
9750.0 9.314817794642276e+38
10166.666666666668 8.160934316987739e+38
10583.333333333334 7.176512574934876e+38
11000.0 6.33329796297017e+38
