#lamb flux
2370 6.0079e-06
2380 6.4647e-06
2390 6.8976e-06
2400 7.3361e-06
2410 7.7688e-06
2420 8.2088e-06
2430 8.6823e-06
2440 9.1885e-06
2450 9.7065e-06
2460 1.0157e-05
2470 1.0669e-05
2480 1.119e-05
2490 1.1739e-05
2500 1.2286e-05
2510 1.2845e-05
2520 1.3402e-05
2530 1.3942e-05
2540 1.4486e-05
2550 1.5041e-05
2560 1.563e-05
2570 1.622e-05
2580 1.6831e-05
2590 1.7435e-05
2600 1.8078e-05
2610 1.8751e-05
2620 1.9403e-05
2630 2.0044e-05
2640 2.0676e-05
2650 2.136e-05
2660 2.2035e-05
2670 2.2694e-05
2680 2.3333e-05
2690 2.3975e-05
2700 2.4617e-05
2710 2.5264e-05
2720 2.5869e-05
2730 2.6459e-05
2740 2.7075e-05
2750 2.7678e-05
2760 2.8232e-05
2770 2.8759e-05
2780 2.9276e-05
2790 2.9784e-05
2800 3.0292e-05
2810 3.0755e-05
2820 3.1202e-05
2830 3.1634e-05
2840 3.2055e-05
2850 3.2481e-05
2860 3.287e-05
2870 3.326e-05
2880 3.3649e-05
2890 3.4035e-05
2900 3.442e-05
2910 3.4775e-05
2920 3.5129e-05
2930 3.5453e-05
2940 3.5773e-05
2950 3.6068e-05
2960 3.6348e-05
2970 3.6637e-05
2980 3.6898e-05
2990 3.7138e-05
3000 3.7373e-05
3010 3.7576e-05
3020 3.7763e-05
3030 3.7902e-05
3040 3.8027e-05
3050 3.8135e-05
3060 3.8215e-05
3070 3.8245e-05
3080 3.8255e-05
3090 3.8204e-05
3100 3.8111e-05
3110 3.7977e-05
3120 3.7776e-05
3130 3.7534e-05
3140 3.7233e-05
3150 3.6879e-05
3160 3.6469e-05
3170 3.599e-05
3180 3.5461e-05
3190 3.4859e-05
3200 3.4194e-05
3210 3.3457e-05
3220 3.2646e-05
3230 3.1763e-05
3240 3.0794e-05
3250 2.9754e-05
3260 2.8627e-05
3270 2.7431e-05
3280 2.6169e-05
3290 2.4845e-05
3300 2.3473e-05
3310 2.2067e-05
3320 2.065e-05
3330 1.9297e-05
3340 1.7985e-05
3350 1.6772e-05
3360 1.5781e-05
3370 1.5234e-05
3380 1.5616e-05
3390 1.6704e-05
3400 1.8161e-05
3410 1.9848e-05
3420 2.1682e-05
3430 2.3598e-05
3440 2.5563e-05
3450 2.7538e-05
3460 2.9501e-05
3470 3.1442e-05
3480 3.3346e-05
3490 3.5209e-05
3500 3.71e-05
3510 3.9199e-05
3520 4.1288e-05
3530 4.3368e-05
3540 4.5438e-05
3550 4.7491e-05
3560 4.9519e-05
3570 5.1529e-05
3580 5.3518e-05
3590 5.5487e-05
3600 5.7437e-05
3610 5.9373e-05
3620 6.1289e-05
3630 6.3193e-05
3640 6.5072e-05
3650 6.6929e-05
3660 6.8769e-05
3670 7.0598e-05
3680 7.2404e-05
3690 7.4192e-05
3700 7.5948e-05
3710 7.7693e-05
3720 7.9409e-05
3730 8.1121e-05
3740 8.279e-05
3750 8.4452e-05
3760 8.6081e-05
3770 8.7684e-05
3780 8.9262e-05
3790 9.0808e-05
3800 9.2337e-05
3810 9.3835e-05
3820 9.5321e-05
3830 9.6777e-05
3840 9.8207e-05
3850 9.9618e-05
3860 0.00010101
3870 0.00010237
3880 0.00010371
3890 0.00010502
3900 0.00010631
3910 0.00010756
3920 0.00010878
3930 0.00010997
3940 0.00011111
3950 0.00011221
3960 0.00011329
3970 0.00011433
3980 0.00011533
3990 0.00011628
4000 0.00011722
4010 0.00011811
4020 0.00011897
4030 0.0001198
4040 0.00012058
4050 0.00012132
4060 0.00012202
4070 0.00012267
4080 0.00012327
4090 0.00012383
4100 0.00012434
4110 0.0001248
4120 0.00012521
4130 0.00012557
4140 0.00012588
4150 0.00012614
4160 0.00012635
4170 0.00012651
4180 0.00012662
4190 0.00012666
4200 0.00012664
4210 0.00012657
4220 0.00012645
4230 0.00012625
4240 0.000126
4250 0.00012571
4260 0.00012536
4270 0.00012494
4280 0.00012445
4290 0.0001239
4300 0.00012329
4310 0.00012264
4320 0.00012192
4330 0.00012114
4340 0.00012031
4350 0.00011943
4360 0.00011851
4370 0.00011754
4380 0.00011655
4390 0.00011554
4400 0.00011453
4410 0.00011353
4420 0.00011258
4430 0.00011171
4440 0.00011096
4450 0.00011043
4460 0.00011021
4470 0.00011056
4480 0.0001117
4490 0.00011325
4500 0.00011506
4510 0.00011705
4520 0.00011914
4530 0.0001213
4540 0.00012349
4550 0.00012568
4560 0.00012787
4570 0.00013003
4580 0.00013216
4590 0.00013424
4600 0.00013626
4610 0.00013825
4620 0.00014016
4630 0.00014203
4640 0.00014387
4650 0.00014566
4660 0.00014739
4670 0.00014905
4680 0.00015067
4690 0.00015226
4700 0.00015381
4710 0.0001553
4720 0.00015674
4730 0.00015813
4740 0.00015945
4750 0.00016068
4760 0.00016186
4770 0.00016295
4780 0.00016396
4790 0.00016495
4800 0.00016587
4810 0.00016667
4820 0.00016746
4830 0.0001682
4840 0.00016886
4850 0.00016943
4860 0.00016999
4870 0.00017041
4880 0.00017081
4890 0.00017109
4900 0.00017132
4910 0.00017148
4920 0.00017157
4930 0.00017161
4940 0.00017161
4950 0.00017158
4960 0.0001715
4970 0.00017139
4980 0.00017126
4990 0.00017111
5000 0.00017091
5010 0.00017067
5020 0.00017041
5030 0.00017012
5040 0.0001698
5050 0.00016946
5060 0.0001691
5070 0.00016875
5080 0.00016841
5090 0.00016807
5100 0.00016774
5110 0.00016743
5120 0.00016713
5130 0.00016685
5140 0.00016657
5150 0.00016627
5160 0.00016594
5170 0.00016557
5180 0.00016517
5190 0.00016473
5200 0.00016424
5210 0.0001637
5220 0.00016312
5230 0.00016249
5240 0.0001618
5250 0.00016106
5260 0.00016025
5270 0.00015935
5280 0.00015839
5290 0.00015737
5300 0.0001563
5310 0.00015519
5320 0.00015403
5330 0.00015283
5340 0.00015161
5350 0.00015038
5360 0.00014914
5370 0.00014791
5380 0.0001467
5390 0.0001455
5400 0.00014431
5410 0.00014316
5420 0.00014201
5430 0.0001409
5440 0.0001398
5450 0.00013864
5460 0.00013753
5470 0.00013638
5480 0.00013526
5490 0.00013418
5500 0.00013305
5510 0.00013198
5520 0.00013095
5530 0.00012997
5540 0.00012902
5550 0.00012808
5560 0.00012713
5570 0.00012616
5580 0.00012526
5590 0.00012432
5600 0.0001233
5610 0.00012232
5620 0.00012132
5630 0.00012039
5640 0.00011939
5650 0.0001185
5660 0.0001176
5670 0.00011674
5680 0.00011576
5690 0.00011483
5700 0.00011391
5710 0.00011301
5720 0.00011215
5730 0.00011126
5740 0.00011037
5750 0.00010947
5760 0.00010868
5770 0.00010785
5780 0.00010703
5790 0.00010621
5800 0.00010541
5810 0.0001046
5820 0.00010382
5830 0.00010306
5840 0.00010229
5850 0.00010151
5860 0.00010063
5870 9.9697e-05
5880 9.8722e-05
5890 9.7751e-05
5900 9.6746e-05
5910 9.5724e-05
5920 9.4732e-05
5930 9.3772e-05
5940 9.2816e-05
5950 9.1834e-05
5960 9.088e-05
5970 8.9957e-05
5980 8.9066e-05
5990 8.8173e-05
6000 8.729e-05
6010 8.6411e-05
6020 8.5577e-05
6030 8.4764e-05
6040 8.3932e-05
6050 8.3116e-05
6060 8.2347e-05
6070 8.1607e-05
6080 8.0879e-05
6090 8.0161e-05
6100 7.9443e-05
6110 7.8768e-05
6120 7.8109e-05
6130 7.7463e-05
6140 7.6827e-05
6150 7.6184e-05
6160 7.5572e-05
6170 7.4956e-05
6180 7.4336e-05
6190 7.3712e-05
6200 7.3079e-05
6210 7.2466e-05
6220 7.1842e-05
6230 7.1235e-05
6240 7.0618e-05
6250 7.0011e-05
6260 6.9402e-05
6270 6.8766e-05
6280 6.8136e-05
6290 6.7504e-05
6300 6.6853e-05
6310 6.6207e-05
6320 6.5548e-05
6330 6.4906e-05
6340 6.4246e-05
6350 6.3566e-05
6360 6.2877e-05
6370 6.2197e-05
6380 6.1494e-05
6390 6.081e-05
6400 6.012e-05
6410 5.9424e-05
6420 5.8745e-05
6430 5.8054e-05
6440 5.7369e-05
6450 5.668e-05
6460 5.5986e-05
6470 5.5299e-05
6480 5.4596e-05
6490 5.3899e-05
6500 5.3195e-05
6510 5.2489e-05
6520 5.1785e-05
6530 5.1075e-05
6540 5.0379e-05
6550 4.9677e-05
6560 4.8994e-05
6570 4.8311e-05
6580 4.7627e-05
6590 4.6947e-05
6600 4.6271e-05
6610 4.56e-05
6620 4.4936e-05
6630 4.4274e-05
6640 4.3614e-05
6650 4.2966e-05
6660 4.2321e-05
6670 4.1677e-05
6680 4.1046e-05
6690 4.0419e-05
6700 3.9803e-05
6710 3.9197e-05
6720 3.8593e-05
6730 3.8002e-05
6740 3.7406e-05
6750 3.6818e-05
6760 3.624e-05
6770 3.5661e-05
6780 3.5089e-05
6790 3.452e-05
6800 3.3957e-05
6810 3.3394e-05
6820 3.2834e-05
6830 3.2272e-05
6840 3.1707e-05
6850 3.1143e-05
6860 3.0589e-05
6870 3.0033e-05
6880 2.948e-05
6890 2.8927e-05
6900 2.8373e-05
6910 2.7815e-05
6920 2.7255e-05
6930 2.669e-05
6940 2.6127e-05
6950 2.5567e-05
6960 2.5003e-05
6970 2.4435e-05
6980 2.3871e-05
6990 2.3307e-05
7000 2.2753e-05
7010 2.2201e-05
7020 2.166e-05
7030 2.1123e-05
7040 2.0611e-05
7050 2.0114e-05
7060 1.965e-05
7070 1.9226e-05
7080 1.8855e-05
7090 1.8561e-05
7100 1.8377e-05
7110 1.839e-05
7120 1.8518e-05
7130 1.872e-05
7140 1.8973e-05
7150 1.9257e-05
7160 1.9561e-05
7170 1.9883e-05
7180 2.0211e-05
7190 2.0545e-05
7200 2.088e-05
7210 2.1215e-05
7220 2.1546e-05
7230 2.1873e-05
7240 2.2204e-05
7250 2.2532e-05
7260 2.2851e-05
7270 2.3166e-05
7280 2.3476e-05
7290 2.3785e-05
7300 2.4081e-05
7310 2.4371e-05
7320 2.4651e-05
7330 2.4926e-05
7340 2.5195e-05
7350 2.5456e-05
7360 2.5716e-05
7370 2.597e-05
7380 2.6223e-05
7390 2.6471e-05
7400 2.6715e-05
7410 2.6958e-05
7420 2.7198e-05
7430 2.7432e-05
7440 2.7662e-05
7450 2.7892e-05
