#lamb flux
2410 0.002367
2420 0.0023664
2430 0.0023827
2440 0.0024198
2450 0.002476
2460 0.0025487
2470 0.0026345
2480 0.0027278
2490 0.0028249
2500 0.0029257
2510 0.0030306
2520 0.0031403
2530 0.0032498
2540 0.00336
2550 0.0034719
2560 0.0035844
2570 0.0036943
2580 0.0038018
2590 0.0039059
2600 0.0040079
2610 0.0041092
2620 0.0042094
2630 0.0043102
2640 0.0044094
2650 0.0045077
2660 0.0046055
2670 0.0047041
2680 0.0048017
2690 0.0049011
2700 0.0050022
2710 0.0051049
2720 0.0052102
2730 0.0053163
2740 0.0054228
2750 0.0055305
2760 0.0056392
2770 0.0057482
2780 0.0058569
2790 0.005963
2800 0.0060655
2810 0.006163
2820 0.0062593
2830 0.0063448
2840 0.0064179
2850 0.0064793
2860 0.0065248
2870 0.0065579
2880 0.0065878
2890 0.0066085
2900 0.0066233
2910 0.0066284
2920 0.0066315
2930 0.0066281
2940 0.0066195
2950 0.0066106
2960 0.0066002
2970 0.0065916
2980 0.0065871
2990 0.0065875
3000 0.0065948
3010 0.0066108
3020 0.0066328
3030 0.006664
3040 0.0067037
3050 0.0067505
3060 0.0068063
3070 0.0068692
3080 0.0069389
3090 0.0070141
3100 0.0070975
3110 0.0071864
3120 0.0072821
3130 0.0073816
3140 0.007487
3150 0.007593
3160 0.0077006
3170 0.0078047
3180 0.0079048
3190 0.0080002
3200 0.0080906
3210 0.0081801
3220 0.0082662
3230 0.0083492
3240 0.0084297
3250 0.0085114
3260 0.0085896
3270 0.0086617
3280 0.008727
3290 0.008784
3300 0.0088355
3310 0.008882
3320 0.0089264
3330 0.0089719
3340 0.0090202
3350 0.0090756
3360 0.0091398
3370 0.0092106
3380 0.0092883
3390 0.0093691
3400 0.0094503
3410 0.0095337
3420 0.0096145
3430 0.0096912
3440 0.0097647
3450 0.0098327
3460 0.0099009
3470 0.009953
3480 0.010001
3490 0.010049
3500 0.010095
3510 0.01014
3520 0.010186
3530 0.010226
3540 0.010264
3550 0.010302
3560 0.010341
3570 0.010383
3580 0.010418
3590 0.010446
3600 0.010463
3610 0.010475
3620 0.010483
3630 0.01049
3640 0.0105
3650 0.010512
3660 0.010525
3670 0.010537
3680 0.010542
3690 0.010538
3700 0.01053
3710 0.010527
3720 0.01051
3730 0.010528
3740 0.01054
3750 0.010555
3760 0.010581
3770 0.010601
3780 0.010632
3790 0.010663
3800 0.010696
3810 0.010723
3820 0.010763
3830 0.010807
3840 0.010852
3850 0.010891
3860 0.010962
3870 0.011046
3880 0.011089
3890 0.011173
3900 0.011249
3910 0.011336
3920 0.011415
3930 0.011493
3940 0.011577
3950 0.011669
3960 0.011771
3970 0.011864
3980 0.011962
3990 0.012068
4000 0.012194
4010 0.012306
4020 0.012428
4030 0.012533
4040 0.012634
4050 0.012728
4060 0.012816
4070 0.012898
4080 0.01297
4090 0.013039
4100 0.013102
4110 0.01316
4120 0.013217
4130 0.013274
4140 0.013322
4150 0.01337
4160 0.013394
4170 0.013416
4180 0.013421
4190 0.013425
4200 0.013429
4210 0.013423
4220 0.01342
4230 0.013421
4240 0.01342
4250 0.013427
4260 0.013437
4270 0.013442
4280 0.013451
4290 0.013456
4300 0.013459
4310 0.013455
4320 0.013456
4330 0.013451
4340 0.01345
4350 0.013452
4360 0.013455
4370 0.013465
4380 0.013474
4390 0.013485
4400 0.0135
4410 0.013519
4420 0.013539
4430 0.013564
4440 0.013594
4450 0.013621
4460 0.013646
4470 0.013689
4480 0.013735
4490 0.01378
4500 0.013832
4510 0.013876
4520 0.013902
4530 0.013937
4540 0.013964
4550 0.013995
4560 0.014008
4570 0.014027
4580 0.014046
4590 0.014054
4600 0.014063
4610 0.014064
4620 0.014063
4630 0.014061
4640 0.014056
4650 0.014072
4660 0.0141
4670 0.014098
4680 0.014071
4690 0.014084
4700 0.014081
4710 0.014068
4720 0.014049
4730 0.014028
4740 0.014
4750 0.013972
4760 0.013965
4770 0.013969
4780 0.013929
4790 0.013879
4800 0.013828
4810 0.013785
4820 0.013763
4830 0.013726
4840 0.013715
4850 0.013697
4860 0.013686
4870 0.013673
4880 0.013661
4890 0.013642
4900 0.013628
4910 0.01362
4920 0.013611
4930 0.013605
4940 0.013591
4950 0.013582
4960 0.013575
4970 0.013594
4980 0.013622
4990 0.013645
5000 0.013653
5010 0.013697
5020 0.01367
5030 0.013662
5040 0.013635
5050 0.013588
5060 0.013517
5070 0.013472
5080 0.013461
5090 0.013462
5100 0.013454
5110 0.013457
5120 0.01347
5130 0.013485
5140 0.013501
5150 0.013485
5160 0.013488
5170 0.013502
5180 0.013498
5190 0.013503
5200 0.013504
5210 0.01351
5220 0.013518
5230 0.013527
5240 0.013541
5250 0.013548
5260 0.01355
5270 0.013554
5280 0.013551
5290 0.013545
5300 0.013543
5310 0.013534
5320 0.013524
5330 0.013514
5340 0.013501
5350 0.013481
5360 0.013458
5370 0.013432
5380 0.013419
5390 0.013392
5400 0.013365
5410 0.013334
5420 0.013293
5430 0.013265
5440 0.013231
5450 0.013208
5460 0.013185
5470 0.013157
5480 0.013126
5490 0.013099
5500 0.013088
5510 0.013047
5520 0.013012
5530 0.012999
5540 0.01298
5550 0.01298
5560 0.012931
5570 0.012881
5580 0.012845
5590 0.012817
5600 0.012797
5610 0.01277
5620 0.01274
5630 0.012716
5640 0.012685
5650 0.012664
5660 0.012609
5670 0.012566
5680 0.01252
5690 0.012484
5700 0.012467
5710 0.012465
5720 0.012463
5730 0.012458
5740 0.01246
5750 0.012464
5760 0.012466
5770 0.012462
5780 0.01246
5790 0.012478
5800 0.012474
5810 0.012492
5820 0.012506
5830 0.01251
5840 0.012533
5850 0.012528
5860 0.012531
5870 0.01252
5880 0.012494
5890 0.012471
5900 0.012448
5910 0.012443
5920 0.012422
5930 0.012398
5940 0.012384
5950 0.012385
5960 0.012376
5970 0.012367
5980 0.012356
5990 0.012346
6000 0.012335
6010 0.012323
6020 0.012309
6030 0.012292
6040 0.012275
6050 0.012256
6060 0.012236
6070 0.012213
6080 0.012193
6090 0.012178
6100 0.012159
6110 0.01214
6120 0.012123
6130 0.012109
6140 0.012094
6150 0.012084
6160 0.012076
6170 0.012073
6180 0.012074
6190 0.01208
6200 0.012089
6210 0.012095
6220 0.012099
6230 0.012103
6240 0.012106
6250 0.012114
6260 0.012119
6270 0.012128
6280 0.012137
6290 0.012146
6300 0.012158
6310 0.012168
6320 0.012181
6330 0.012191
6340 0.012205
6350 0.012218
6360 0.012229
6370 0.012239
6380 0.012247
6390 0.012259
6400 0.012264
6410 0.012271
6420 0.012277
6430 0.012283
6440 0.012284
6450 0.012283
6460 0.012281
6470 0.012277
6480 0.012273
6490 0.012269
6500 0.012269
6510 0.012269
6520 0.012271
6530 0.012275
6540 0.012282
6550 0.01229
6560 0.012302
6570 0.012311
6580 0.012322
6590 0.012314
6600 0.012307
6610 0.012306
6620 0.01231
6630 0.012338
6640 0.012372
6650 0.012399
