#lamb flux
2770 4.8613e-08
2780 5.1113e-08
2790 5.3675e-08
2800 5.6287e-08
2810 5.8927e-08
2820 6.1641e-08
2830 6.4278e-08
2840 6.6811e-08
2850 6.9243e-08
2860 7.1508e-08
2870 7.3659e-08
2880 7.5855e-08
2890 7.7986e-08
2900 8.0102e-08
2910 8.2129e-08
2920 8.4208e-08
2930 8.6255e-08
2940 8.8264e-08
2950 9.0325e-08
2960 9.2444e-08
2970 9.4685e-08
2980 9.7091e-08
2990 9.968e-08
3000 1.0249e-07
3010 1.0558e-07
3020 1.0893e-07
3030 1.126e-07
3040 1.1661e-07
3050 1.2094e-07
3060 1.2562e-07
3070 1.3061e-07
3080 1.3592e-07
3090 1.416e-07
3100 1.4767e-07
3110 1.5406e-07
3120 1.6083e-07
3130 1.6793e-07
3140 1.7542e-07
3150 1.832e-07
3160 1.9133e-07
3170 2.001e-07
3180 2.0908e-07
3190 2.1824e-07
3200 2.2759e-07
3210 2.3726e-07
3220 2.4715e-07
3230 2.5729e-07
3240 2.6769e-07
3250 2.7853e-07
3260 2.8981e-07
3270 3.0126e-07
3280 3.1288e-07
3290 3.2459e-07
3300 3.3652e-07
3310 3.4864e-07
3320 3.6108e-07
3330 3.7394e-07
3340 3.8725e-07
3350 4.0124e-07
3360 4.1602e-07
3370 4.3153e-07
3380 4.4775e-07
3390 4.6463e-07
3400 4.8205e-07
3410 5.001e-07
3420 5.1858e-07
3430 5.3738e-07
3440 5.5652e-07
3450 5.7592e-07
3460 5.957e-07
3470 6.1586e-07
3480 6.3642e-07
3490 6.5741e-07
3500 6.7875e-07
3510 7.0049e-07
3520 7.2273e-07
3530 7.4538e-07
3540 7.6852e-07
3550 7.9213e-07
3560 8.1633e-07
3570 8.4096e-07
3580 8.6593e-07
3590 8.9122e-07
3600 9.1665e-07
3610 9.4244e-07
3620 9.687e-07
3630 9.953e-07
3640 1.0224e-06
3650 1.05e-06
3660 1.078e-06
3670 1.1064e-06
3680 1.1354e-06
3690 1.165e-06
3700 1.1951e-06
3710 1.2261e-06
3720 1.2581e-06
3730 1.291e-06
3740 1.3249e-06
3750 1.3597e-06
3760 1.3954e-06
3770 1.432e-06
3780 1.4695e-06
3790 1.5077e-06
3800 1.5467e-06
3810 1.586e-06
3820 1.6256e-06
3830 1.6657e-06
3840 1.7065e-06
3850 1.7481e-06
3860 1.7907e-06
3870 1.8344e-06
3880 1.8793e-06
3890 1.9259e-06
3900 1.9741e-06
3910 2.0247e-06
3920 2.0767e-06
3930 2.1293e-06
3940 2.1839e-06
3950 2.2404e-06
3960 2.3303e-06
3970 2.4342e-06
3980 2.5436e-06
3990 2.658e-06
4000 2.7774e-06
4010 2.9022e-06
4020 3.0323e-06
4030 3.1679e-06
4040 3.3088e-06
4050 3.455e-06
4060 3.6066e-06
4070 3.7635e-06
4080 3.9258e-06
4090 4.0937e-06
4100 4.2666e-06
4110 4.4443e-06
4120 4.627e-06
4130 4.8151e-06
4140 5.0086e-06
4150 5.2073e-06
4160 5.4106e-06
4170 5.6164e-06
4180 5.8264e-06
4190 6.0411e-06
4200 6.2615e-06
4210 6.4877e-06
4220 6.7207e-06
4230 6.9616e-06
4240 7.2108e-06
4250 7.4713e-06
4260 7.7417e-06
4270 8.019e-06
4280 8.3062e-06
4290 8.6003e-06
4300 8.9025e-06
4310 9.2122e-06
4320 9.5318e-06
4330 9.8616e-06
4340 1.0203e-05
4350 1.0555e-05
4360 1.092e-05
4370 1.1297e-05
4380 1.1686e-05
4390 1.2089e-05
4400 1.2505e-05
4410 1.2935e-05
4420 1.3377e-05
4430 1.3834e-05
4440 1.4305e-05
4450 1.4789e-05
4460 1.5288e-05
4470 1.5801e-05
4480 1.6328e-05
4490 1.6869e-05
4500 1.7425e-05
4510 1.7995e-05
4520 1.8578e-05
4530 1.9176e-05
4540 1.9786e-05
4550 2.0408e-05
4560 2.1041e-05
4570 2.1689e-05
4580 2.235e-05
4590 2.3027e-05
4600 2.3722e-05
4610 2.4448e-05
4620 2.5237e-05
4630 2.6262e-05
4640 2.7361e-05
4650 2.8515e-05
4660 2.9725e-05
4670 3.0995e-05
4680 3.2325e-05
4690 3.372e-05
4700 3.5179e-05
4710 3.6706e-05
4720 3.8302e-05
4730 3.9972e-05
4740 4.172e-05
4750 4.3546e-05
4760 4.5457e-05
4770 4.7455e-05
4780 4.9542e-05
4790 5.1723e-05
4800 5.4004e-05
4810 5.6389e-05
4820 5.8884e-05
4830 6.1492e-05
4840 6.422e-05
4850 6.7072e-05
4860 7.0052e-05
4870 7.3167e-05
4880 7.6421e-05
4890 7.9816e-05
4900 8.3357e-05
4910 8.7044e-05
4920 9.0879e-05
4930 9.4871e-05
4940 9.9022e-05
4950 0.00010337
4960 0.00010791
4970 0.00011266
4980 0.00011762
4990 0.00012278
5000 0.00012816
5010 0.00013377
5020 0.00013959
5030 0.00014566
5040 0.00015197
5050 0.00015854
5060 0.00016537
5070 0.00017247
5080 0.00017984
5090 0.00018749
5100 0.00019541
5110 0.00020361
5120 0.0002121
5130 0.00022085
5140 0.00022986
5150 0.00023914
5160 0.0002487
5170 0.00025853
5180 0.00026866
5190 0.00027907
5200 0.00028974
5210 0.00030068
5220 0.00031189
5230 0.00032336
5240 0.00033511
5250 0.00034709
5260 0.00035929
5270 0.0003717
5280 0.00038428
5290 0.00039704
5300 0.00040996
5310 0.00042306
5320 0.00043636
5330 0.00044984
5340 0.00046348
5350 0.00047725
5360 0.00049109
5370 0.00050503
5380 0.00051897
5390 0.000533
5400 0.00054708
5410 0.00056117
5420 0.00057529
5430 0.00058938
5440 0.00060346
5450 0.00061751
5460 0.00063153
5470 0.00064547
5480 0.00065943
5490 0.00067339
5500 0.00068741
5510 0.00070139
5520 0.00071553
5530 0.00072993
5540 0.00074426
5550 0.00075878
5560 0.00077329
5570 0.0007878
5580 0.00080221
5590 0.00081654
5600 0.00083077
5610 0.00084487
5620 0.00085898
5630 0.00087293
5640 0.00088672
5650 0.00090049
5660 0.00091437
5670 0.00092821
5680 0.00094216
5690 0.00095602
5700 0.00096975
5710 0.00098325
5720 0.00099648
5730 0.0010094
5740 0.0010219
5750 0.0010339
5760 0.0010455
5770 0.0010566
5780 0.0010674
5790 0.0010779
5800 0.0010879
5810 0.0010976
5820 0.0011069
5830 0.0011159
5840 0.0011245
5850 0.0011329
5860 0.0011409
5870 0.0011485
5880 0.0011556
5890 0.0011624
5900 0.0011689
5910 0.0011751
5920 0.0011809
5930 0.0011862
5940 0.0011911
5950 0.0011955
5960 0.0011994
5970 0.0012028
5980 0.0012057
5990 0.0012079
6000 0.0012093
6010 0.0012101
6020 0.0012101
6030 0.0012093
6040 0.0012077
6050 0.0012055
6060 0.0012024
6070 0.0011986
6080 0.0011947
6090 0.0011902
6100 0.0011852
6110 0.0011798
6120 0.001174
6130 0.0011679
6140 0.0011615
6150 0.001155
6160 0.0011484
6170 0.0011417
6180 0.0011348
6190 0.0011278
6200 0.0011206
6210 0.0011133
6220 0.0011056
6230 0.0010977
6240 0.0010898
6250 0.0010818
6260 0.0010737
6270 0.0010654
6280 0.0010567
6290 0.0010477
6300 0.0010384
6310 0.0010286
6320 0.0010185
6330 0.0010079
6340 0.0009968
6350 0.0009853
6360 0.00097333
6370 0.00096099
6380 0.00094835
6390 0.00093541
6400 0.00092215
6410 0.00090857
6420 0.00089463
6430 0.00088048
6440 0.00086606
6450 0.00085144
6460 0.00083663
6470 0.00082171
