#lamb flux
1200 0.0
1210 2.808692e-06
1220 5.617385e-06
1230 8.426077e-06
1240 1.123477e-05
1250 1.404346e-05
1260 1.685215e-05
1270 1.966085e-05
1280 2.246954e-05
1290 2.527823e-05
1300 2.808692e-05
1310 3.089561e-05
1320 3.370431e-05
1330 3.6513e-05
1340 3.932169e-05
1350 4.213038e-05
1360 4.493908e-05
1370 4.774777e-05
1380 5.055646e-05
1390 5.336515e-05
1400 5.617385e-05
1410 5.898254e-05
1420 6.179123e-05
1430 6.459992e-05
1440 6.740861e-05
1450 7.021731e-05
1460 7.3026e-05
1470 7.583469e-05
1480 7.864339e-05
1490 8.145208e-05
1500 8.426077e-05
1510 8.706946e-05
1520 8.987815e-05
1530 9.268685e-05
1540 9.549554e-05
1550 9.830423e-05
1560 0.0001011129
1570 0.0001039216
1580 0.0001067303
1590 0.000109539
1600 0.0001123477
1610 0.0001151564
1620 0.0001179651
1630 0.0001207738
1640 0.0001235825
1650 0.0001263912
1660 0.0001291998
1670 0.0001320085
1680 0.0001348172
1690 0.0001376259
1700 0.0001404346
1710 0.0001432433
1720 0.000146052
1730 0.0001488607
1740 0.0001516694
1750 0.0001544781
1760 0.0001572868
1770 0.0001600955
1780 0.0001629042
1790 0.0001657129
1800 0.0001685215
1810 0.0001713302
1820 0.0001741389
1830 0.0001769476
1840 0.0001797563
1850 0.000182565
1860 0.0001853737
1870 0.0001881824
1880 0.0001909911
1890 0.0001937998
1900 0.0001966085
1910 0.0001994171
1920 0.0002022258
1930 0.0002050345
1940 0.0002078432
1950 0.0002106519
1960 0.0002134606
1970 0.0002162693
1980 0.000219078
1990 0.0002218867
2000 0.0002246954
2010 0.0002275041
2020 0.0002303128
2030 0.0002331215
2040 0.0002359301
2050 0.0002387388
2060 0.0002415475
2070 0.0002443562
2080 0.0002471649
2090 0.0002499736
2100 0.0002527823
2110 0.000255591
2120 0.0002583997
2130 0.0002612084
2140 0.0002640171
2150 0.0002668258
2160 0.0002696345
2170 0.0002724431
2180 0.0002752518
2190 0.0002780605
2200 0.0002808692
2210 0.0002836779
2220 0.0002864866
2230 0.0002892953
2240 0.000292104
2250 0.0002949127
2260 0.0002977214
2270 0.0003005301
2280 0.0003033388
2290 0.0003061475
2300 0.0003089561
2310 0.0003117648
2320 0.0003145735
2330 0.0003173822
2340 0.0003201909
2350 0.0003229996
2360 0.0003258083
2370 0.000328617
2380 0.0003314257
2390 0.0003342344
2400 0.0003370431
2410 0.0003398518
2420 0.0003426605
2430 0.0003454691
2440 0.0003482778
2450 0.0003510865
2460 0.0003538952
2470 0.0003567039
2480 0.0003595126
2490 0.0003623213
2500 0.00036513
2510 0.00036812
2520 0.00040735
2530 0.00039169
2540 0.00037962
2550 0.00040698
2560 0.00045879
2570 0.00047846
2580 0.00051142
2590 0.00054633
2600 0.00058607
2610 0.00065817
2620 0.00067364
2630 0.00069712
2640 0.00071978
2650 0.0008264
2660 0.00086415
2670 0.00092403
2680 0.0010036
2690 0.0010487
2700 0.001149
2710 0.0012337
2720 0.001311
2730 0.001373
2740 0.0015012
2750 0.0016037
2760 0.001618
2770 0.0016447
2780 0.0018457
2790 0.0020907
2800 0.002378
2810 0.0027512
2820 0.0031206
2830 0.0035188
2840 0.0039054
2850 0.0041147
2860 0.0044021
2870 0.0044667
2880 0.004742
2890 0.004667
2900 0.0049144
2910 0.0052161
2920 0.0054563
2930 0.0056324
2940 0.0057709
2950 0.0059586
2960 0.005964
2970 0.0064891
2980 0.0072163
2990 0.0074973
3000 0.0078123
3010 0.0081581
3020 0.0090435
3030 0.0099472
3040 0.010637
3050 0.011165
3060 0.011461
3070 0.011704
3080 0.012011
3090 0.011232
3100 0.011139
3110 0.010531
3120 0.010181
3130 0.011108
3140 0.010776
3150 0.009148
3160 0.010449
3170 0.010912
3180 0.010056
3190 0.0097532
3200 0.010722
3210 0.0092163
3220 0.0096818
3230 0.0082732
3240 0.0084329
3250 0.0083687
3260 0.0081866
3270 0.0083509
