#lamb flux
1200 0.0
1210 5.408e-09
1220 1.0816e-08
1230 1.6224e-08
1240 2.1632e-08
1250 2.704e-08
1260 3.2448e-08
1270 3.7856e-08
1280 4.3264e-08
1290 4.8672e-08
1300 5.408e-08
1310 5.9488e-08
1320 6.4896e-08
1330 7.0304e-08
1340 7.5712e-08
1350 8.112e-08
1360 8.6528e-08
1370 9.1936e-08
1380 9.7344e-08
1390 1.02752e-07
1400 1.0816e-07
1410 1.13568e-07
1420 1.18976e-07
1430 1.24384e-07
1440 1.29792e-07
1450 1.352e-07
1460 1.40608e-07
1470 1.46016e-07
1480 1.51424e-07
1490 1.56832e-07
1500 1.6224e-07
1510 1.67648e-07
1520 1.73056e-07
1530 1.78464e-07
1540 1.83872e-07
1550 1.8928e-07
1560 1.94688e-07
1570 2.00096e-07
1580 2.05504e-07
1590 2.10912e-07
1600 2.1632e-07
1610 2.21728e-07
1620 2.27136e-07
1630 2.32544e-07
1640 2.37952e-07
1650 2.4336e-07
1660 2.48768e-07
1670 2.54176e-07
1680 2.59584e-07
1690 2.64992e-07
1700 2.704e-07
1710 2.75808e-07
1720 2.81216e-07
1730 2.86624e-07
1740 2.92032e-07
1750 2.9744e-07
1760 3.02848e-07
1770 3.08256e-07
1780 3.13664e-07
1790 3.19072e-07
1800 3.2448e-07
1810 3.29888e-07
1820 3.35296e-07
1830 3.40704e-07
1840 3.46112e-07
1850 3.5152e-07
1860 3.56928e-07
1870 3.62336e-07
1880 3.67744e-07
1890 3.73152e-07
1900 3.7856e-07
1910 3.83968e-07
1920 3.89376e-07
1930 3.94784e-07
1940 4.00192e-07
1950 4.056e-07
1960 4.11008e-07
1970 4.16416e-07
1980 4.21824e-07
1990 4.27232e-07
2000 4.3264e-07
2010 4.38048e-07
2020 4.43456e-07
2030 4.48864e-07
2040 4.54272e-07
2050 4.5968e-07
2060 4.65088e-07
2070 4.70496e-07
2080 4.75904e-07
2090 4.81312e-07
2100 4.8672e-07
2110 4.92128e-07
2120 4.97536e-07
2130 5.02944e-07
2140 5.08352e-07
2150 5.1376e-07
2160 5.19168e-07
2170 5.24576e-07
2180 5.29984e-07
2190 5.35392e-07
2200 5.408e-07
2210 5.46208e-07
2220 5.51616e-07
2230 5.57024e-07
2240 5.62432e-07
2250 5.6784e-07
2260 5.73248e-07
2270 5.78656e-07
2280 5.84064e-07
2290 5.89472e-07
2300 5.9488e-07
2310 6.00288e-07
2320 6.05696e-07
2330 6.11104e-07
2340 6.16512e-07
2350 6.2192e-07
2360 6.27328e-07
2370 6.32736e-07
2380 6.38144e-07
2390 6.43552e-07
2400 6.4896e-07
2410 6.54368e-07
2420 6.59776e-07
2430 6.65184e-07
2440 6.70592e-07
2450 6.76e-07
2460 6.81408e-07
2470 6.86816e-07
2480 6.92224e-07
2490 6.97632e-07
2500 7.0304e-07
2510 7.7294e-07
2520 8.499e-07
2530 9.328e-07
2540 1.0225e-06
2550 1.1179e-06
2560 1.2192e-06
2570 1.3248e-06
2580 1.435e-06
2590 1.5487e-06
2600 1.6677e-06
2610 1.7928e-06
2620 1.9247e-06
2630 2.0643e-06
2640 2.2108e-06
2650 2.3643e-06
2660 2.525e-06
2670 2.6952e-06
2680 2.873e-06
2690 3.0633e-06
2700 3.2661e-06
2710 3.4814e-06
2720 3.7103e-06
2730 3.9511e-06
2740 4.2063e-06
2750 4.4767e-06
2760 4.7615e-06
2770 5.0603e-06
2780 5.3725e-06
2790 5.696e-06
2800 6.0297e-06
2810 6.3711e-06
2820 6.7253e-06
2830 7.0759e-06
2840 7.4195e-06
2850 7.7558e-06
2860 8.077e-06
2870 8.3887e-06
2880 8.7085e-06
2890 9.0238e-06
2900 9.34e-06
2910 9.6482e-06
2920 9.9648e-06
2930 1.028e-05
2940 1.0592e-05
2950 1.0912e-05
2960 1.1241e-05
2970 1.1586e-05
2980 1.1953e-05
2990 1.2345e-05
3000 1.2765e-05
3010 1.3223e-05
3020 1.3713e-05
3030 1.4246e-05
3040 1.4825e-05
3050 1.5446e-05
3060 1.6114e-05
3070 1.6824e-05
3080 1.7575e-05
3090 1.8366e-05
3100 1.9206e-05
3110 2.0089e-05
3120 2.1022e-05
3130 2.1997e-05
3140 2.3023e-05
3150 2.4086e-05
3160 2.5188e-05
3170 2.6312e-05
3180 2.7457e-05
3190 2.8618e-05
3200 2.9796e-05
3210 3.1006e-05
3220 3.2236e-05
3230 3.3488e-05
3240 3.4763e-05
3250 3.6075e-05
3260 3.7411e-05
3270 3.8756e-05
3280 4.0108e-05
3290 4.1456e-05
3300 4.2817e-05
3310 4.4185e-05
3320 4.5578e-05
3330 4.7006e-05
3340 4.8472e-05
3350 5.0005e-05
3360 5.1616e-05
3370 5.3295e-05
3380 5.5041e-05
3390 5.6844e-05
3400 5.8689e-05
3410 6.0585e-05
3420 6.2507e-05
3430 6.444e-05
3440 6.6388e-05
3450 6.8338e-05
3460 7.0309e-05
3470 7.2297e-05
3480 7.4303e-05
3490 7.6328e-05
3500 7.8365e-05
3510 8.0418e-05
3520 8.2497e-05
3530 8.4592e-05
3540 8.6709e-05
3550 8.886e-05
3560 9.1437e-05
3570 9.4866e-05
3580 9.8398e-05
3590 0.00010203
3600 0.00010576
3610 0.0001096
3620 0.00011356
3630 0.00011765
3640 0.00012186
3650 0.00012621
3660 0.00013067
3670 0.00013527
3680 0.00014001
3690 0.00014488
3700 0.00014991
3710 0.00015512
3720 0.00016053
3730 0.00016614
3740 0.00017195
3750 0.00017796
3760 0.00018418
3770 0.00019059
3780 0.00019723
3790 0.00020404
3800 0.00021105
3810 0.0002182
3820 0.00022549
3830 0.00023294
3840 0.00024059
3850 0.00024845
3860 0.00025658
3870 0.00026497
3880 0.00027366
3890 0.00028271
3900 0.00029214
3910 0.00030206
3920 0.00031233
3930 0.00032287
3940 0.00033386
3950 0.00034532
3960 0.00035712
3970 0.00036927
3980 0.00038183
3990 0.00039475
4000 0.00040798
4010 0.00042154
4020 0.00043543
4030 0.00044962
4040 0.00046408
4050 0.00047876
4060 0.00049367
4070 0.00050876
4080 0.00052401
4090 0.00053946
4100 0.00055498
4110 0.00057054
4120 0.00058612
4130 0.0006018
4140 0.00061753
4150 0.00063328
4160 0.00064894
4170 0.00066427
4180 0.00067946
4190 0.00069457
4200 0.00070968
4210 0.00072481
4220 0.00074004
4230 0.00075548
4240 0.00077114
4250 0.00078733
4260 0.00080384
4270 0.00082036
4280 0.00083716
4290 0.00085392
4300 0.00087075
4310 0.00088759
4320 0.00090462
4330 0.00092186
4340 0.00093939
4350 0.00095721
4360 0.00097532
4370 0.00099374
4380 0.0010125
4390 0.0010315
4400 0.0010509
4410 0.0010705
4420 0.0010904
4430 0.0011106
4440 0.001131
4450 0.0011516
4460 0.0011725
4470 0.0011935
4480 0.0012148
4490 0.0012362
4500 0.0012577
4510 0.0012794
4520 0.0013012
4530 0.001323
4540 0.0013448
4550 0.0013665
4560 0.0013881
4570 0.0014097
4580 0.0014313
4590 0.0014529
4600 0.0014747
4610 0.0014966
4620 0.0015187
4630 0.001541
4640 0.0015634
4650 0.001586
4660 0.0016087
4670 0.0016315
4680 0.0016544
4690 0.0016774
4700 0.0017002
4710 0.001723
4720 0.0017456
4730 0.0017681
4740 0.0017906
4750 0.0018129
4760 0.0018351
4770 0.0018572
4780 0.0018792
4790 0.001901
4800 0.0019227
4810 0.0019444
4820 0.0019661
4830 0.0019878
4840 0.0020094
4850 0.002031
4860 0.0020526
4870 0.0020742
4880 0.0020957
4890 0.0021172
4900 0.0021385
4910 0.0021596
4920 0.0021804
4930 0.002201
4940 0.0022213
4950 0.0022419
4960 0.002263
4970 0.0022843
4980 0.0023057
4990 0.0023272
5000 0.0023487
5010 0.0023703
5020 0.0023919
5030 0.0024136
5040 0.0024354
5050 0.0024573
5060 0.0024792
5070 0.0025013
5080 0.0025235
5090 0.0025457
5100 0.0025678
5110 0.00259
5120 0.0026121
5130 0.0026339
5140 0.0026555
5150 0.0026768
5160 0.002698
5170 0.002719
5180 0.0027401
5190 0.002761
5200 0.0027817
5210 0.0028021
5220 0.0028224
5230 0.0028425
5240 0.0028624
5250 0.0028819
5260 0.002901
5270 0.0029195
5280 0.0029373
5290 0.0029545
5300 0.002971
5310 0.0029871
5320 0.0030028
5330 0.0030183
5340 0.0030333
5350 0.0030478
5360 0.0030615
5370 0.0030746
5380 0.0030866
5390 0.0030981
5400 0.0031091
5410 0.0031194
5420 0.003129
5430 0.0031379
5440 0.0031462
5450 0.0031539
5460 0.0031611
5470 0.0031676
5480 0.0031739
5490 0.0031801
5500 0.0031865
5510 0.0031925
5520 0.0031993
5530 0.0032072
5540 0.0032148
5550 0.0032233
5560 0.0032318
5570 0.0032405
5580 0.0032489
5590 0.0032572
5600 0.0032654
5610 0.0032733
5620 0.0032817
5630 0.0032897
5640 0.0032977
5650 0.003306
5660 0.0033152
5670 0.0033247
5680 0.0033351
5690 0.0033458
5700 0.0033566
5710 0.0033672
5720 0.0033775
5730 0.0033874
5740 0.0033966
5750 0.0034051
5760 0.003413
5770 0.0034202
5780 0.0034272
5790 0.003434
5800 0.0034405
5810 0.0034466
5820 0.0034527
5830 0.0034589
5840 0.0034649
5850 0.003471
5860 0.0034773
5870 0.0034833
5880 0.0034891
5890 0.003495
5900 0.003501
5910 0.0035073
5920 0.0035134
5930 0.0035195
5940 0.0035253
5950 0.003531
5960 0.0035365
5970 0.0035416
5980 0.0035463
5990 0.0035503
6000 0.0035534
6010 0.0035556
6020 0.0035568
6030 0.003557
6040 0.0035562
6050 0.0035546
6060 0.0035518
6070 0.0035482
6080 0.0035454
6090 0.0035421
6100 0.0035387
6110 0.0035352
6120 0.0035317
6130 0.0035287
6140 0.0035262
6150 0.0035243
6160 0.0035237
6170 0.0035242
6180 0.0035252
6190 0.0035272
6200 0.0035302
6210 0.0035338
6220 0.0035375
6230 0.0035418
6240 0.0035475
6250 0.0035544
6260 0.0035619
6270 0.0035701
6280 0.0035782
6290 0.0035865
6300 0.0035949
6310 0.0036028
6320 0.0036106
6330 0.0036176
6340 0.0036238
6350 0.0036294
6360 0.0036341
6370 0.0036381
6380 0.0036418
6390 0.0036449
6400 0.0036473
6410 0.003649
6420 0.0036498
6430 0.00365
6440 0.0036495
6450 0.0036484
6460 0.0036467
6470 0.0036447
6480 0.0036428
6490 0.0036411
6500 0.0036398
6510 0.0036393
6520 0.0036386
6530 0.0036382
6540 0.0036381
6550 0.0036372
6560 0.0036362
6570 0.0036357
6580 0.0036355
6590 0.0036359
6600 0.0036361
6610 0.0036371
6620 0.0036372
6630 0.0036368
6640 0.0036361
6650 0.0036337
6660 0.0036294
6670 0.0036244
6680 0.0036175
6690 0.0036091
