#lamb flux
1200 0.0
1210 1.738797e-06
1220 3.477594e-06
1230 5.216391e-06
1240 6.955188e-06
1250 8.693985e-06
1260 1.043278e-05
1270 1.217158e-05
1280 1.391038e-05
1290 1.564917e-05
1300 1.738797e-05
1310 1.912677e-05
1320 2.086556e-05
1330 2.260436e-05
1340 2.434316e-05
1350 2.608195e-05
1360 2.782075e-05
1370 2.955955e-05
1380 3.129835e-05
1390 3.303714e-05
1400 3.477594e-05
1410 3.651474e-05
1420 3.825353e-05
1430 3.999233e-05
1440 4.173113e-05
1450 4.346992e-05
1460 4.520872e-05
1470 4.694752e-05
1480 4.868632e-05
1490 5.042511e-05
1500 5.216391e-05
1510 5.390271e-05
1520 5.56415e-05
1530 5.73803e-05
1540 5.91191e-05
1550 6.085789e-05
1560 6.259669e-05
1570 6.433549e-05
1580 6.607429e-05
1590 6.781308e-05
1600 6.955188e-05
1610 7.129068e-05
1620 7.302947e-05
1630 7.476827e-05
1640 7.650707e-05
1650 7.824586e-05
1660 7.998466e-05
1670 8.172346e-05
1680 8.346226e-05
1690 8.520105e-05
1700 8.693985e-05
1710 8.867865e-05
1720 9.041744e-05
1730 9.215624e-05
1740 9.389504e-05
1750 9.563383e-05
1760 9.737263e-05
1770 9.911143e-05
1780 0.0001008502
1790 0.000102589
1800 0.0001043278
1810 0.0001060666
1820 0.0001078054
1830 0.0001095442
1840 0.000111283
1850 0.0001130218
1860 0.0001147606
1870 0.0001164994
1880 0.0001182382
1890 0.000119977
1900 0.0001217158
1910 0.0001234546
1920 0.0001251934
1930 0.0001269322
1940 0.000128671
1950 0.0001304098
1960 0.0001321486
1970 0.0001338874
1980 0.0001356262
1990 0.000137365
2000 0.0001391038
2010 0.0001408426
2020 0.0001425814
2030 0.0001443201
2040 0.0001460589
2050 0.0001477977
2060 0.0001495365
2070 0.0001512753
2080 0.0001530141
2090 0.0001547529
2100 0.0001564917
2110 0.0001582305
2120 0.0001599693
2130 0.0001617081
2140 0.0001634469
2150 0.0001651857
2160 0.0001669245
2170 0.0001686633
2180 0.0001704021
2190 0.0001721409
2200 0.0001738797
2210 0.0001756185
2220 0.0001773573
2230 0.0001790961
2240 0.0001808349
2250 0.0001825737
2260 0.0001843125
2270 0.0001860513
2280 0.0001877901
2290 0.0001895289
2300 0.0001912677
2310 0.0001930065
2320 0.0001947453
2330 0.0001964841
2340 0.0001982229
2350 0.0001999616
2360 0.0002017004
2370 0.0002034393
2380 0.000205178
2390 0.0002069168
2400 0.0002086556
2410 0.0002103944
2420 0.0002121332
2430 0.000213872
2440 0.0002156108
2450 0.0002173496
2460 0.0002190884
2470 0.0002208272
2480 0.000222566
2490 0.0002243048
2500 0.0002260436
2510 0.0002277824
2520 0.0002295212
2530 0.00023126
2540 0.00022323
2550 0.00023865
2560 0.00026833
2570 0.0002791
2580 0.00029754
2590 0.00031718
2600 0.00033949
2610 0.00037986
2620 0.00038744
2630 0.00039978
2640 0.00041152
2650 0.00047132
2660 0.00049157
2670 0.0005237
2680 0.00056743
2690 0.00059066
2700 0.00064537
2710 0.00069101
2720 0.00073197
2730 0.00076452
2740 0.00083378
2750 0.00088853
2760 0.00089369
2770 0.00090578
2780 0.0010142
2790 0.0011468
2800 0.0013032
2810 0.0015041
2820 0.0017019
2830 0.001915
2840 0.0021209
2850 0.0022298
