#lamb flux
1200 0.0
1210 9.423308e-09
1220 1.884662e-08
1230 2.826993e-08
1240 3.769323e-08
1250 4.711654e-08
1260 5.653985e-08
1270 6.596316e-08
1280 7.538647e-08
1290 8.480977e-08
1300 9.423308e-08
1310 1.036564e-07
1320 1.130797e-07
1330 1.22503e-07
1340 1.319263e-07
1350 1.413496e-07
1360 1.507729e-07
1370 1.601962e-07
1380 1.696195e-07
1390 1.790429e-07
1400 1.884662e-07
1410 1.978895e-07
1420 2.073128e-07
1430 2.167361e-07
1440 2.261594e-07
1450 2.355827e-07
1460 2.45006e-07
1470 2.544293e-07
1480 2.638526e-07
1490 2.732759e-07
1500 2.826992e-07
1510 2.921226e-07
1520 3.015459e-07
1530 3.109692e-07
1540 3.203925e-07
1550 3.298158e-07
1560 3.392391e-07
1570 3.486624e-07
1580 3.580857e-07
1590 3.67509e-07
1600 3.769323e-07
1610 3.863556e-07
1620 3.95779e-07
1630 4.052023e-07
1640 4.146256e-07
1650 4.240489e-07
1660 4.334722e-07
1670 4.428955e-07
1680 4.523188e-07
1690 4.617421e-07
1700 4.711654e-07
1710 4.805887e-07
1720 4.90012e-07
1730 4.994353e-07
1740 5.088587e-07
1750 5.18282e-07
1760 5.277053e-07
1770 5.371286e-07
1780 5.465519e-07
1790 5.559752e-07
1800 5.653985e-07
1810 5.748218e-07
1820 5.842451e-07
1830 5.936684e-07
1840 6.030917e-07
1850 6.12515e-07
1860 6.219384e-07
1870 6.313617e-07
1880 6.40785e-07
1890 6.502083e-07
1900 6.596316e-07
1910 6.690549e-07
1920 6.784782e-07
1930 6.879015e-07
1940 6.973248e-07
1950 7.067481e-07
1960 7.161714e-07
1970 7.255947e-07
1980 7.35018e-07
1990 7.444413e-07
2000 7.538647e-07
2010 7.63288e-07
2020 7.727113e-07
2030 7.821346e-07
2040 7.915579e-07
2050 8.009812e-07
2060 8.104045e-07
2070 8.198278e-07
2080 8.292511e-07
2090 8.386744e-07
2100 8.480977e-07
2110 8.57521e-07
2120 8.669444e-07
2130 8.763677e-07
2140 8.85791e-07
2150 8.952143e-07
2160 9.046376e-07
2170 9.140609e-07
2180 9.234842e-07
2190 9.329075e-07
2200 9.423308e-07
2210 9.517541e-07
2220 9.611774e-07
2230 9.706008e-07
2240 9.800241e-07
2250 9.894474e-07
2260 9.988707e-07
2270 1.008294e-06
2280 1.017717e-06
2290 1.027141e-06
2300 1.036564e-06
2310 1.045987e-06
2320 1.055411e-06
2330 1.064834e-06
2340 1.074257e-06
2350 1.083681e-06
2360 1.093104e-06
2370 1.102527e-06
2380 1.11195e-06
2390 1.121374e-06
2400 1.130797e-06
2410 1.14022e-06
2420 1.149644e-06
2430 1.159067e-06
2440 1.16849e-06
2450 1.177914e-06
2460 1.187337e-06
2470 1.19676e-06
2480 1.206184e-06
2490 1.215607e-06
2500 1.22503e-06
2510 1.234453e-06
2520 1.243877e-06
2530 1.2533e-06
2540 1.3654e-06
2550 1.4841e-06
2560 1.6095e-06
2570 1.7396e-06
2580 1.8748e-06
2590 2.0136e-06
2600 2.1585e-06
2610 2.3104e-06
2620 2.4703e-06
2630 2.6394e-06
2640 2.8164e-06
2650 3.0018e-06
2660 3.1959e-06
2670 3.4013e-06
2680 3.6159e-06
2690 3.8458e-06
2700 4.0911e-06
2710 4.3517e-06
2720 4.6291e-06
2730 4.9213e-06
2740 5.2313e-06
2750 5.5604e-06
2760 5.9076e-06
2770 6.2723e-06
2780 6.6542e-06
2790 7.0508e-06
2800 7.4608e-06
2810 7.8813e-06
2820 8.3189e-06
2830 8.7533e-06
2840 9.1804e-06
2850 9.6003e-06
2860 1.0003e-05
2870 1.0397e-05
2880 1.0802e-05
2890 1.1204e-05
2900 1.161e-05
2910 1.2008e-05
2920 1.2419e-05
2930 1.2831e-05
2940 1.3243e-05
2950 1.3668e-05
2960 1.4107e-05
2970 1.4569e-05
2980 1.5063e-05
2990 1.5592e-05
3000 1.6162e-05
3010 1.6782e-05
3020 1.745e-05
3030 1.8177e-05
3040 1.8969e-05
3050 1.9822e-05
3060 2.0742e-05
3070 2.1724e-05
3080 2.2767e-05
3090 2.387e-05
3100 2.5047e-05
3110 2.6291e-05
3120 2.7611e-05
3130 2.8997e-05
3140 3.0465e-05
3150 3.1994e-05
3160 3.3589e-05
3170 3.5229e-05
3180 3.6913e-05
3190 3.8634e-05
3200 4.0396e-05
3210 4.2218e-05
3220 4.4086e-05
3230 4.6003e-05
3240 4.7971e-05
3250 5.001e-05
3260 5.2105e-05
3270 5.4233e-05
3280 5.6394e-05
3290 5.8574e-05
3300 6.0793e-05
3310 6.3048e-05
3320 6.5364e-05
3330 6.7754e-05
3340 7.0227e-05
3350 7.2826e-05
3360 7.5567e-05
3370 7.8438e-05
3380 8.1442e-05
3390 8.4564e-05
3400 8.7785e-05
3410 9.1118e-05
3420 9.453e-05
3430 9.7998e-05
3440 0.00010153
3450 0.0001051
3460 0.00010874
3470 0.00011245
3480 0.00011623
3490 0.00012008
3500 0.000124
3510 0.00012799
3520 0.00013206
3530 0.00013621
3540 0.00014044
3550 0.00014475
3560 0.00014917
3570 0.00015367
3580 0.00015822
3590 0.00016283
3600 0.00016747
3610 0.00017216
3620 0.00017694
3630 0.00018179
3640 0.00018671
3650 0.00019174
3660 0.00019683
3670 0.000202
3680 0.00020729
3690 0.00021266
3700 0.00021815
3710 0.0002238
3720 0.00022963
3730 0.00023563
3740 0.00024182
3750 0.00024818
3760 0.00025473
3770 0.00026143
3780 0.00026833
3790 0.00027536
3800 0.00028254
3810 0.00028981
3820 0.00029716
3830 0.00030462
3840 0.00031224
3850 0.00032002
3860 0.00032804
3870 0.00033629
3880 0.00034481
3890 0.00035369
3900 0.00036291
3910 0.00037264
3920 0.00038268
3930 0.00039294
3940 0.00040362
3950 0.00041474
3960 0.00042616
3970 0.00043785
3980 0.00044991
3990 0.00046226
4000 0.00047485
4010 0.0004877
4020 0.00050079
4030 0.0005141
4040 0.00052758
4050 0.00054119
4060 0.00055492
4070 0.00056874
4080 0.00058261
4090 0.00059658
4100 0.0006105
4110 0.00062434
4120 0.0006381
4130 0.00065184
4140 0.00066552
4150 0.00067912
4160 0.00069252
4170 0.00070546
4180 0.00071815
4190 0.00073066
4200 0.00074308
4210 0.00075543
4220 0.00076779
4230 0.00078028
4240 0.0007929
4250 0.00080597
4260 0.00081928
4270 0.0008325
4280 0.0008459
4290 0.00085918
4300 0.00087242
4310 0.00088557
4320 0.00089882
4330 0.00091218
4340 0.00092573
4350 0.00093946
4360 0.00095338
4370 0.00096749
4380 0.0009818
4390 0.00099631
4400 0.001011
4410 0.0010258
4420 0.0010408
4430 0.0010559
4440 0.0010712
4450 0.0010865
4460 0.0011018
4470 0.0011173
4480 0.0011328
4490 0.0011483
4500 0.0011639
4510 0.0011793
4520 0.0011948
4530 0.0012101
4540 0.0012253
4550 0.0012403
4560 0.001255
4570 0.0012696
4580 0.001284
4590 0.0012983
4600 0.0013126
4610 0.0013268
4620 0.0013411
4630 0.0013553
4640 0.0013695
4650 0.0013837
4660 0.0013978
4670 0.0014119
4680 0.0014258
4690 0.0014395
4700 0.001453
4710 0.0014662
4720 0.0014791
4730 0.0014917
4740 0.0015039
4750 0.0015158
4760 0.0015275
4770 0.0015388
4780 0.0015498
4790 0.0015604
4800 0.0015708
4810 0.0015809
4820 0.0015908
4830 0.0016004
4840 0.0016099
4850 0.0016191
4860 0.0016281
4870 0.001637
4880 0.0016456
4890 0.0016539
4900 0.001662
4910 0.0016697
4920 0.001677
4930 0.0016839
4940 0.0016905
4950 0.0016972
4960 0.0017039
4970 0.0017107
4980 0.0017175
4990 0.0017241
5000 0.0017306
5010 0.001737
5020 0.0017432
5030 0.0017493
5040 0.0017554
5050 0.0017613
5060 0.0017672
5070 0.0017729
5080 0.0017787
5090 0.0017842
5100 0.0017896
5110 0.0017948
5120 0.0017999
5130 0.0018046
5140 0.001809
5150 0.0018131
5160 0.001817
5170 0.0018206
5180 0.0018242
5190 0.0018275
5200 0.0018306
5210 0.0018334
5220 0.0018359
5230 0.0018383
5240 0.0018404
5250 0.0018422
5260 0.0018436
5270 0.0018446
5280 0.001845
5290 0.001845
5300 0.0018445
5310 0.0018437
5320 0.0018426
5330 0.0018412
5340 0.0018397
5350 0.0018376
5360 0.0018351
5370 0.0018322
5380 0.0018287
5390 0.0018248
5400 0.0018206
5410 0.001816
5420 0.0018111
5430 0.0018057
5440 0.0018
5450 0.0017939
5460 0.0017876
5470 0.001781
5480 0.0017743
5490 0.0017675
5500 0.0017609
5510 0.0017542
5520 0.0017479
5530 0.0017422
5540 0.0017365
5550 0.0017312
5560 0.001726
5570 0.0017209
5580 0.0017157
5590 0.0017105
5600 0.0017053
5610 0.0017
5620 0.001695
5630 0.0016898
5640 0.0016847
5650 0.0016797
5660 0.0016753
5670 0.0016711
5680 0.0016674
5690 0.0016639
5700 0.0016604
5710 0.001657
5720 0.0016534
5730 0.0016497
5740 0.0016457
5750 0.0016414
5760 0.0016369
5770 0.0016321
5780 0.0016273
5790 0.0016225
5800 0.0016177
5810 0.0016127
5820 0.0016079
5830 0.0016031
5840 0.0015984
5850 0.0015938
5860 0.0015893
5870 0.0015849
5880 0.0015804
5890 0.0015761
5900 0.001572
5910 0.001568
5920 0.0015641
5930 0.0015603
5940 0.0015565
5950 0.0015527
5960 0.0015489
5970 0.0015452
5980 0.0015413
5990 0.0015372
6000 0.0015329
6010 0.0015283
6020 0.0015235
6030 0.0015183
6040 0.0015129
6050 0.0015073
6060 0.0015013
6070 0.0014951
6080 0.0014894
6090 0.0014837
6100 0.001478
6110 0.0014725
6120 0.0014672
6130 0.0014622
6140 0.0014576
6150 0.0014534
6160 0.0014498
6170 0.0014469
6180 0.0014443
6190 0.0014424
6200 0.001441
6210 0.00144
6220 0.0014392
6230 0.0014388
6240 0.0014391
6250 0.0014401
6260 0.0014415
6270 0.0014433
6280 0.0014452
6290 0.0014473
6300 0.0014497
6310 0.001452
6320 0.0014543
6330 0.0014566
6340 0.0014586
6350 0.0014606
6360 0.0014623
6370 0.0014639
6380 0.0014656
6390 0.0014671
6400 0.0014685
6410 0.0014698
6420 0.0014708
6430 0.0014718
6440 0.0014726
6450 0.0014733
6460 0.0014739
6470 0.0014746
6480 0.0014753
6490 0.0014764
