#lamb flux
1200 0.0
1210 4.522015e-06
1220 9.044031e-06
1230 1.356605e-05
1240 1.808806e-05
1250 2.261008e-05
1260 2.713209e-05
1270 3.165411e-05
1280 3.617612e-05
1290 4.069814e-05
1300 4.522016e-05
1310 4.974217e-05
1320 5.426419e-05
1330 5.87862e-05
1340 6.330822e-05
1350 6.783023e-05
1360 7.235225e-05
1370 7.687426e-05
1380 8.139628e-05
1390 8.591829e-05
1400 9.044031e-05
1410 9.496233e-05
1420 9.948434e-05
1430 0.0001040064
1440 0.0001085284
1450 0.0001130504
1460 0.0001175724
1470 0.0001220944
1480 0.0001266164
1490 0.0001311385
1500 0.0001356605
1510 0.0001401825
1520 0.0001447045
1530 0.0001492265
1540 0.0001537485
1550 0.0001582705
1560 0.0001627926
1570 0.0001673146
1580 0.0001718366
1590 0.0001763586
1600 0.0001808806
1610 0.0001854026
1620 0.0001899247
1630 0.0001944467
1640 0.0001989687
1650 0.0002034907
1660 0.0002080127
1670 0.0002125347
1680 0.0002170567
1690 0.0002215788
1700 0.0002261008
1710 0.0002306228
1720 0.0002351448
1730 0.0002396668
1740 0.0002441888
1750 0.0002487108
1760 0.0002532329
1770 0.0002577549
1780 0.0002622769
1790 0.0002667989
1800 0.0002713209
1810 0.0002758429
1820 0.000280365
1830 0.000284887
1840 0.000289409
1850 0.000293931
1860 0.000298453
1870 0.000302975
1880 0.0003074971
1890 0.0003120191
1900 0.0003165411
1910 0.0003210631
1920 0.0003255851
1930 0.0003301071
1940 0.0003346292
1950 0.0003391512
1960 0.0003436732
1970 0.0003481952
1980 0.0003527172
1990 0.0003572392
2000 0.0003617612
2010 0.0003662833
2020 0.0003708053
2030 0.0003753273
2040 0.0003798493
2050 0.0003843713
2060 0.0003888933
2070 0.0003934153
2080 0.0003979374
2090 0.0004024594
2100 0.0004069814
2110 0.0004115034
2120 0.0004160254
2130 0.0004205474
2140 0.0004250695
2150 0.0004295915
2160 0.0004341135
2170 0.0004386355
2180 0.0004431575
2190 0.0004476795
2200 0.0004522015
2210 0.0004567236
2220 0.0004612456
2230 0.0004657676
2240 0.0004702896
2250 0.0004748116
2260 0.0004793336
2270 0.0004838557
2280 0.0004883777
2290 0.0004928997
2300 0.0004974217
2310 0.0005019437
2320 0.0005064657
2330 0.0005109878
2340 0.0005155098
2350 0.0005200318
2360 0.0005245538
2370 0.0005290758
2380 0.0005335978
2390 0.0005381198
2400 0.0005426419
2410 0.0005471639
2420 0.0005516859
2430 0.0005562079
2440 0.0005607299
2450 0.0005652519
2460 0.0005697739
2470 0.000574296
2480 0.000578818
2490 0.00058334
2500 0.00061751
2510 0.00065299
2520 0.00068905
2530 0.00072497
2540 0.00076179
2550 0.00079986
2560 0.00084054
2570 0.00088192
2580 0.00092517
2590 0.00096888
2600 0.0010155
2610 0.0010648
2620 0.0011129
2630 0.0011611
2640 0.0012095
2650 0.0012618
2660 0.0013144
2670 0.0013664
2680 0.0014181
2690 0.0014708
2700 0.0015243
2710 0.0015789
2720 0.0016317
2730 0.0016844
2740 0.0017395
2750 0.0017947
2760 0.0018475
2770 0.0018993
2780 0.0019513
2790 0.0020034
2800 0.0020564
2810 0.0021071
2820 0.0021575
2830 0.0022076
2840 0.0022578
2850 0.0023091
2860 0.0023586
2870 0.0024089
2880 0.0024601
2890 0.0025118
2900 0.0025645
2910 0.0026158
2920 0.0026679
2930 0.0027187
2940 0.0027703
2950 0.0028208
2960 0.0028713
2970 0.0029235
2980 0.0029747
2990 0.0030253
3000 0.0030768
3010 0.0031268
3020 0.0031769
3030 0.0032244
3040 0.0032721
3050 0.0033199
3060 0.0033668
3070 0.0034111
3080 0.0034554
3090 0.0034959
3100 0.0035347
3110 0.0035717
3120 0.0036046
3130 0.0036359
3140 0.0036638
3150 0.0036892
3160 0.0037117
3170 0.0037301
3180 0.0037465
3190 0.0037584
3200 0.0037671
3210 0.0037716
3220 0.0037716
3230 0.0037675
3240 0.0037575
3250 0.003743
3260 0.0037219
3270 0.0036956
3280 0.0036639
3290 0.0036263
3300 0.0035827
3310 0.003533
3320 0.0034767
3330 0.0034144
3340 0.0033459
3350 0.0032707
3360 0.0031895
3370 0.0031025
3380 0.0030093
3390 0.0029108
3400 0.0028071
3410 0.002699
3420 0.0025876
3430 0.0024733
3440 0.0023581
3450 0.0022427
3460 0.0021284
3470 0.0020174
3480 0.0019114
3490 0.0018123
3500 0.0017224
3510 0.0016443
3520 0.0015804
3530 0.0015337
3540 0.0015073
3550 0.0015054
3560 0.0015351
3570 0.0015912
3580 0.0016699
3590 0.0017688
3600 0.0018859
3610 0.0020192
3620 0.0021663
3630 0.0023257
3640 0.0024949
3650 0.002672
3660 0.0028556
3670 0.0030444
3680 0.0032363
3690 0.0034303
3700 0.0036245
3710 0.003819
3720 0.0040119
3730 0.0042038
3740 0.0043921
3750 0.0045782
3760 0.0047602
3770 0.0049381
3780 0.0051118
3790 0.0052807
3800 0.0054453
3810 0.0056048
3820 0.0057603
3830 0.0059108
3840 0.0060562
3850 0.0061972
3860 0.006334
3870 0.0064653
3880 0.0065925
3890 0.0067145
3900 0.0068319
3910 0.0069444
3920 0.0070523
3930 0.0071556
3940 0.007253
3950 0.0073453
3960 0.0074335
3970 0.0075171
3980 0.007596
3990 0.0076698
4000 0.0077402
4010 0.0078063
4020 0.0078684
4030 0.0079263
4040 0.0079798
4050 0.0080294
4060 0.0080741
4070 0.0081148
4080 0.0081508
4090 0.0081826
4100 0.0082103
4110 0.0082334
4120 0.0082524
4130 0.0082673
4140 0.0082783
4150 0.0082847
4160 0.0082872
4170 0.0082857
4180 0.00828
4190 0.0082691
4200 0.0082541
4210 0.0082348
4220 0.0082115
4230 0.0081829
4240 0.0081503
4250 0.008114
4260 0.0080736
4270 0.0080281
4280 0.007977
4290 0.0079215
4300 0.0078613
4310 0.0077966
4320 0.007727
4330 0.0076521
4340 0.0075718
4350 0.0074865
4360 0.0073957
4370 0.0072992
4380 0.007197
4390 0.0070891
4400 0.0069754
4410 0.0068551
4420 0.006729
4430 0.0065964
4440 0.0064574
4450 0.0063125
4460 0.0061618
4470 0.0060049
4480 0.0058422
4490 0.0056733
4500 0.0054989
4510 0.0053193
4520 0.0051342
4530 0.004944
4540 0.0047496
4550 0.0045514
4560 0.0043507
4570 0.0041484
4580 0.0039458
4590 0.003744
4600 0.0035452
4610 0.0033517
4620 0.003165
4630 0.0029881
4640 0.0028242
4650 0.0026753
4660 0.0025446
4670 0.0024356
4680 0.002353
4690 0.0023035
4700 0.002304
4710 0.0023502
4720 0.0024269
4730 0.0025278
4740 0.0026485
4750 0.0027849
4760 0.0029343
4770 0.0030935
4780 0.0032599
4790 0.003432
4800 0.0036069
4810 0.0037815
4820 0.0039567
4830 0.0041305
4840 0.0043004
4850 0.0044657
4860 0.0046275
4870 0.0047817
4880 0.0049312
4890 0.0050728
4900 0.005208
4910 0.0053363
4920 0.0054576
4930 0.0055721
4940 0.0056809
4950 0.0057838
4960 0.0058807
4970 0.0059718
4980 0.0060584
4990 0.0061399
5000 0.0062164
5010 0.0062874
5020 0.0063542
5030 0.0064167
5040 0.006475
5050 0.0065297
5060 0.0065811
5070 0.0066299
5080 0.0066772
5090 0.0067223
5100 0.0067656
5110 0.0068077
5120 0.006849
5130 0.0068894
5140 0.0069281
5150 0.0069647
5160 0.0069992
5170 0.0070306
5180 0.0070597
5190 0.0070858
5200 0.0071093
5210 0.0071294
5220 0.0071469
5230 0.0071614
5240 0.0071724
5250 0.0071807
5260 0.0071849
5270 0.0071844
5280 0.0071807
5290 0.0071732
5300 0.0071629
5310 0.0071499
5320 0.0071339
5330 0.0071156
5340 0.0070953
5350 0.0070742
5360 0.0070514
5370 0.0070286
5380 0.0070061
5390 0.0069833
5400 0.0069605
5410 0.0069384
5420 0.0069164
5430 0.0068947
5440 0.0068736
5450 0.0068481
5460 0.0068244
5470 0.0067984
5480 0.0067722
5490 0.0067477
5500 0.0067198
5510 0.0066937
5520 0.0066685
5530 0.0066449
5540 0.0066222
5550 0.0065984
5560 0.0065728
5570 0.0065452
5580 0.0065196
5590 0.0064904
5600 0.0064558
5610 0.0064216
5620 0.0063842
5630 0.0063489
5640 0.0063085
5650 0.0062711
5660 0.0062311
5670 0.0061915
5680 0.006143
5690 0.0060941
5700 0.0060433
5710 0.0059912
5720 0.0059376
5730 0.0058799
5740 0.0058184
5750 0.0057538
5760 0.0056909
5770 0.0056225
5780 0.0055512
5790 0.0054757
5800 0.0053977
5810 0.0053157
5820 0.0052314
5830 0.0051444
5840 0.0050538
5850 0.0049598
5860 0.0048602
5870 0.0047569
5880 0.0046488
5890 0.0045372
5900 0.0044198
5910 0.0042973
5920 0.0041718
5930 0.0040433
5940 0.0039107
5950 0.0037729
5960 0.0036327
5970 0.0034905
5980 0.0033468
5990 0.003201
6000 0.0030544
6010 0.0029077
6020 0.0027633
6030 0.0026218
6040 0.0024833
6050 0.0023505
6060 0.0022263
6070 0.0021119
6080 0.0020092
6090 0.0019205
6100 0.0018488
6110 0.0017992
6120 0.0017795
6130 0.0018024
6140 0.0018525
6150 0.0019224
6160 0.0020088
6170 0.002108
6180 0.0022174
6190 0.0023348
6200 0.0024578
6210 0.0025858
6220 0.0027159
6230 0.0028479
6240 0.0029795
6250 0.0031105
6260 0.0032395
6270 0.0033648
6280 0.0034871
6290 0.0036058
6300 0.0037194
6310 0.0038291
6320 0.0039336
6330 0.0040346
6340 0.0041299
6350 0.0042193
6360 0.0043035
6370 0.0043836
6380 0.0044576
6390 0.0045284
6400 0.0045945
6410 0.0046558
6420 0.0047144
6430 0.004768
6440 0.0048182
6450 0.0048643
6460 0.0049063
6470 0.0049455
6480 0.0049797
6490 0.0050113
6500 0.0050388
6510 0.0050632
6520 0.0050845
6530 0.0051024
6540 0.0051189
6550 0.0051319
6560 0.0051443
6570 0.0051541
6580 0.0051613
6590 0.0051667
6600 0.0051701
6610 0.0051718
6620 0.0051722
6630 0.0051706
6640 0.0051672
6650 0.0051634
6660 0.0051579
6670 0.0051506
6680 0.0051433
6690 0.0051347
6700 0.0051258
6710 0.0051166
6720 0.0051061
6730 0.0050958
6740 0.0050834
6750 0.0050707
6760 0.005058
6770 0.0050439
6780 0.0050294
6790 0.0050143
6800 0.0049987
6810 0.004982
6820 0.0049647
6830 0.004946
6840 0.0049257
6850 0.0049046
6860 0.0048839
6870 0.0048621
