#lamb flux
1200 0.0
1210 2.318139e-07
1220 4.636279e-07
1230 6.954419e-07
1240 9.272558e-07
1250 1.15907e-06
1260 1.390884e-06
1270 1.622698e-06
1280 1.854512e-06
1290 2.086326e-06
1300 2.31814e-06
1310 2.549954e-06
1320 2.781767e-06
1330 3.013581e-06
1340 3.245395e-06
1350 3.477209e-06
1360 3.709023e-06
1370 3.940837e-06
1380 4.172651e-06
1390 4.404465e-06
1400 4.636279e-06
1410 4.868093e-06
1420 5.099907e-06
1430 5.331721e-06
1440 5.563535e-06
1450 5.795349e-06
1460 6.027163e-06
1470 6.258977e-06
1480 6.490791e-06
1490 6.722605e-06
1500 6.954419e-06
1510 7.186233e-06
1520 7.418046e-06
1530 7.64986e-06
1540 7.881674e-06
1550 8.113488e-06
1560 8.345302e-06
1570 8.577116e-06
1580 8.80893e-06
1590 9.040744e-06
1600 9.272558e-06
1610 9.504372e-06
1620 9.736186e-06
1630 9.968e-06
1640 1.019981e-05
1650 1.043163e-05
1660 1.066344e-05
1670 1.089526e-05
1680 1.112707e-05
1690 1.135888e-05
1700 1.15907e-05
1710 1.182251e-05
1720 1.205433e-05
1730 1.228614e-05
1740 1.251795e-05
1750 1.274977e-05
1760 1.298158e-05
1770 1.321339e-05
1780 1.344521e-05
1790 1.367702e-05
1800 1.390884e-05
1810 1.414065e-05
1820 1.437246e-05
1830 1.460428e-05
1840 1.483609e-05
1850 1.506791e-05
1860 1.529972e-05
1870 1.553154e-05
1880 1.576335e-05
1890 1.599516e-05
1900 1.622698e-05
1910 1.645879e-05
1920 1.66906e-05
1930 1.692242e-05
1940 1.715423e-05
1950 1.738605e-05
1960 1.761786e-05
1970 1.784967e-05
1980 1.808149e-05
1990 1.83133e-05
2000 1.854512e-05
2010 1.877693e-05
2020 1.900874e-05
2030 1.924056e-05
2040 1.947237e-05
2050 1.970419e-05
2060 1.9936e-05
2070 2.016781e-05
2080 2.039963e-05
2090 2.063144e-05
2100 2.086326e-05
2110 2.109507e-05
2120 2.132688e-05
2130 2.15587e-05
2140 2.179051e-05
2150 2.202233e-05
2160 2.225414e-05
2170 2.248595e-05
2180 2.271777e-05
2190 2.294958e-05
2200 2.31814e-05
2210 2.341321e-05
2220 2.364502e-05
2230 2.387684e-05
2240 2.410865e-05
2250 2.434046e-05
2260 2.457228e-05
2270 2.480409e-05
2280 2.503591e-05
2290 2.526772e-05
2300 2.549954e-05
2310 2.573135e-05
2320 2.596316e-05
2330 2.619498e-05
2340 2.642679e-05
2350 2.66586e-05
2360 2.689042e-05
2370 2.712223e-05
2380 2.735405e-05
2390 2.758586e-05
2400 2.781767e-05
2410 2.804949e-05
