#lamb flux
1200 1.058791e-22
1210 5.925984e-09
1220 1.185197e-08
1230 1.777795e-08
1240 2.370393e-08
1250 2.962992e-08
1260 3.55559e-08
1270 4.148189e-08
1280 4.740787e-08
1290 5.333385e-08
1300 5.925984e-08
1310 6.518582e-08
1320 7.11118e-08
1330 7.703779e-08
1340 8.296377e-08
1350 8.888975e-08
1360 9.481574e-08
1370 1.007417e-07
1380 1.066677e-07
1390 1.125937e-07
1400 1.185197e-07
1410 1.244457e-07
1420 1.303716e-07
1430 1.362976e-07
1440 1.422236e-07
1450 1.481496e-07
1460 1.540756e-07
1470 1.600016e-07
1480 1.659275e-07
1490 1.718535e-07
1500 1.777795e-07
1510 1.837055e-07
1520 1.896315e-07
1530 1.955575e-07
1540 2.014834e-07
1550 2.074094e-07
1560 2.133354e-07
1570 2.192614e-07
1580 2.251874e-07
1590 2.311134e-07
1600 2.370393e-07
1610 2.429653e-07
1620 2.488913e-07
1630 2.548173e-07
1640 2.607433e-07
1650 2.666693e-07
1660 2.725953e-07
1670 2.785212e-07
1680 2.844472e-07
1690 2.903732e-07
1700 2.962992e-07
1710 3.022252e-07
1720 3.081512e-07
1730 3.140771e-07
1740 3.200031e-07
1750 3.259291e-07
1760 3.318551e-07
1770 3.377811e-07
1780 3.43707e-07
1790 3.49633e-07
1800 3.55559e-07
1810 3.61485e-07
1820 3.67411e-07
1830 3.73337e-07
1840 3.792629e-07
1850 3.851889e-07
1860 3.911149e-07
1870 3.970409e-07
1880 4.029669e-07
1890 4.088929e-07
1900 4.148189e-07
1910 4.207448e-07
1920 4.266708e-07
1930 4.325968e-07
1940 4.385228e-07
1950 4.444488e-07
1960 4.503748e-07
1970 4.563007e-07
1980 4.622267e-07
1990 4.681527e-07
2000 4.740787e-07
2010 4.800047e-07
2020 4.859307e-07
2030 4.918566e-07
2040 4.977826e-07
2050 5.037086e-07
2060 5.096346e-07
2070 5.155606e-07
2080 5.214866e-07
2090 5.274125e-07
2100 5.333385e-07
2110 5.392645e-07
2120 5.451905e-07
2130 5.511165e-07
2140 5.570425e-07
2150 5.629684e-07
2160 5.688944e-07
2170 5.748204e-07
2180 5.807464e-07
2190 5.866724e-07
2200 5.925984e-07
2210 5.985243e-07
2220 6.044503e-07
2230 6.103763e-07
2240 6.163023e-07
2250 6.222283e-07
2260 6.281543e-07
2270 6.340803e-07
2280 6.400062e-07
2290 6.459322e-07
2300 6.518582e-07
2310 6.577842e-07
2320 6.637102e-07
2330 6.696361e-07
2340 6.755621e-07
2350 6.814881e-07
2360 6.874141e-07
2370 6.933401e-07
2380 6.992661e-07
2390 7.051921e-07
2400 7.11118e-07
2410 7.17044e-07
2420 7.2297e-07
2430 7.7219e-07
2440 8.2526e-07
2450 8.8033e-07
2460 9.3025e-07
2470 9.8672e-07
2480 1.045e-06
2490 1.107e-06
2500 1.1698e-06
2510 1.235e-06
2520 1.301e-06
2530 1.3667e-06
2540 1.4338e-06
2550 1.5031e-06
2560 1.5772e-06
2570 1.6526e-06
2580 1.7315e-06
2590 1.811e-06
2600 1.896e-06
2610 1.9857e-06
2620 2.0747e-06
2630 2.1641e-06
2640 2.254e-06
2650 2.3512e-06
2660 2.4491e-06
2670 2.5469e-06
2680 2.6441e-06
2690 2.7435e-06
2700 2.8446e-06
