#lamb flux
1200 1.084202e-19
1210 5.664836e-06
1220 1.132967e-05
1230 1.699451e-05
1240 2.265934e-05
1250 2.832418e-05
1260 3.398902e-05
1270 3.965385e-05
1280 4.531869e-05
1290 5.098352e-05
1300 5.664836e-05
1310 6.23132e-05
1320 6.797803e-05
1330 7.364287e-05
1340 7.930771e-05
1350 8.497254e-05
1360 9.063738e-05
1370 9.630221e-05
1380 0.000101967
1390 0.0001076319
1400 0.0001132967
1410 0.0001189616
1420 0.0001246264
1430 0.0001302912
1440 0.0001359561
1450 0.0001416209
1460 0.0001472857
1470 0.0001529506
1480 0.0001586154
1490 0.0001642802
1500 0.0001699451
1510 0.0001756099
1520 0.0001812747
1530 0.0001869396
1540 0.0001926044
1550 0.0001982693
1560 0.0002039341
1570 0.0002095989
1580 0.0002152638
1590 0.0002209286
1600 0.0002265934
1610 0.0002322583
1620 0.0002379231
1630 0.0002435879
1640 0.0002492528
1650 0.0002549176
1660 0.0002605825
1670 0.0002662473
1680 0.0002719121
1690 0.000277577
1700 0.0002832418
1710 0.0002889066
1720 0.0002945715
1730 0.0003002363
1740 0.0003059012
1750 0.000311566
1760 0.0003172308
1770 0.0003228957
1780 0.0003285605
1790 0.0003342253
1800 0.0003398902
1810 0.000345555
1820 0.0003512198
1830 0.0003568847
1840 0.0003625495
1850 0.0003682143
1860 0.0003738792
1870 0.000379544
1880 0.0003852089
1890 0.0003908737
1900 0.0003965385
1910 0.0004022034
1920 0.0004078682
1930 0.000413533
1940 0.0004191979
1950 0.0004248627
1960 0.0004305275
1970 0.0004361924
1980 0.0004418572
1990 0.0004475221
2000 0.0004531869
2010 0.0004588517
2020 0.0004645166
2030 0.0004701814
2040 0.0004758462
2050 0.0004815111
2060 0.0004871759
2070 0.0004928407
2080 0.0004985056
2090 0.0005041704
2100 0.0005098353
2110 0.0005155001
2120 0.0005211649
2130 0.0005268297
2140 0.0005324946
2150 0.0005381594
2160 0.0005438243
2170 0.0005494891
2180 0.0005551539
2190 0.0005608188
2200 0.0005664836
2210 0.0005721484
2220 0.0005778133
2230 0.0005834781
2240 0.0005891429
2250 0.0005948078
2260 0.0006004726
2270 0.0006061375
2280 0.0006118023
2290 0.0006174671
2300 0.000623132
2310 0.0006287968
2320 0.0006344616
2330 0.0006401265
2340 0.0006457913
2350 0.0006514561
2360 0.000657121
2370 0.0006627858
2380 0.0006684507
2390 0.0006741155
2400 0.0006797803
2410 0.0006854452
2420 0.00069111
2430 0.00070012
2440 0.00071564
2450 0.00073608
2460 0.00076074
2470 0.0007894
2480 0.00082117
2490 0.00085531
2500 0.00089078
2510 0.00092833
2520 0.00096956
2530 0.0010083
2540 0.0010445
2550 0.001086
2560 0.0011299
2570 0.0011745
2580 0.0012191
2590 0.0012656
2600 0.0013122
2610 0.0013611
2620 0.0014109
2630 0.0014641
2640 0.0015177
2650 0.0015724
2660 0.0016292
2670 0.0016871
2680 0.001746
2690 0.0018062
2700 0.0018677
2710 0.0019318
2720 0.0019994
2730 0.0020695
2740 0.0021378
2750 0.0022066
2760 0.0022789
2770 0.0023543
2780 0.0024316
2790 0.0025079
2800 0.0025832
2810 0.0026584
2820 0.0027364
2830 0.0028133
2840 0.0028883
2850 0.002961
2860 0.0030287
2870 0.0030911
2880 0.003151
2890 0.0032059
2900 0.0032582
2910 0.0033054
2920 0.0033502
2930 0.0033905
2940 0.0034309
2950 0.0034746
2960 0.0035145
2970 0.0035533
2980 0.0035929
2990 0.0036346
3000 0.003681
3010 0.0037313
3020 0.0037821
3030 0.0038356
3040 0.0038894
3050 0.0039449
3060 0.0040061
3070 0.004073
3080 0.0041475
3090 0.0042277
3100 0.0043164
3110 0.004411
3120 0.0045131
3130 0.00462
3140 0.0047313
3150 0.0048429
3160 0.0049577
3170 0.0050705
3180 0.0051814
3190 0.0052926
3200 0.0054022
3210 0.0055132
3220 0.0056255
3230 0.0057371
3240 0.0058484
3250 0.0059646
3260 0.0060764
3270 0.0061858
3280 0.0062911
3290 0.0063938
3300 0.0064936
3310 0.0065949
3320 0.0066963
3330 0.0068042
3340 0.0069224
3350 0.0070496
3360 0.0071875
3370 0.0073344
3380 0.0074926
3390 0.0076545
3400 0.0078173
3410 0.0079876
3420 0.0081601
3430 0.0083375
3440 0.0085219
3450 0.0087099
3460 0.0089258
3470 0.009083
3480 0.0092403
3490 0.0094144
3500 0.0095992
3510 0.0097942
3520 0.010013
3530 0.010214
3540 0.01041
3550 0.010628
3560 0.010854
3570 0.011117
3580 0.011366
3590 0.011595
3600 0.011787
3610 0.011975
3620 0.012143
3630 0.012322
3640 0.012536
3650 0.012774
3660 0.013043
3670 0.01331
3680 0.013533
3690 0.01369
3700 0.013809
3710 0.013948
3720 0.013954
3730 0.014219
3740 0.014413
3750 0.014615
3760 0.014893
3770 0.015107
3780 0.015404
3790 0.015702
3800 0.016013
3810 0.016299
3820 0.016746
3830 0.017245
3840 0.017771
3850 0.018225
3860 0.018997
3870 0.019908
3880 0.020314
3890 0.021129
3900 0.021786
3910 0.022458
3920 0.022999
3930 0.023525
3940 0.024048
3950 0.024578
3960 0.025209
3970 0.025713
3980 0.026231
3990 0.026846
4000 0.027719
4010 0.028413
4020 0.029236
4030 0.029844
4040 0.030426
4050 0.030944
4060 0.031403
4070 0.031847
4080 0.032207
4090 0.032553
4100 0.032911
4110 0.033301
4120 0.033778
4130 0.034331
4140 0.034851
4150 0.035462
4160 0.035818
4170 0.036357
4180 0.036755
4190 0.037236
4200 0.037798
4210 0.038251
4220 0.038775
4230 0.039356
4240 0.039885
4250 0.040426
4260 0.040963
4270 0.041473
4280 0.04203
4290 0.042577
4300 0.043121
4310 0.043607
4320 0.044153
4330 0.044582
4340 0.045024
4350 0.045491
4360 0.045944
4370 0.046465
4380 0.046936
4390 0.047409
4400 0.047918
4410 0.048458
4420 0.049019
4430 0.04965
4440 0.050385
4450 0.051049
4460 0.051667
4470 0.052674
4480 0.053757
4490 0.054837
4500 0.056087
4510 0.057202
4520 0.057925
4530 0.058902
4540 0.059749
4550 0.060759
4560 0.061414
4570 0.062255
4580 0.063101
4590 0.063727
4600 0.064336
4610 0.064794
4620 0.06515
4630 0.065467
4640 0.065683
4650 0.066422
4660 0.067469
4670 0.067734
4680 0.067389
4690 0.06807
4700 0.068391
4710 0.06847
4720 0.068428
4730 0.068383
4740 0.068165
4750 0.068004
4760 0.068403
4770 0.069139
4780 0.068723
4790 0.068039
4800 0.067366
4810 0.066875
4820 0.066989
4830 0.066678
4840 0.067069
4850 0.067253
4860 0.06761
4870 0.067937
4880 0.068261
4890 0.068399
4900 0.068705
4910 0.069222
4920 0.069746
4930 0.070399
4940 0.070853
4950 0.071372
4960 0.071845
4970 0.073045
4980 0.074473
4990 0.07574
5000 0.07653
5010 0.078379
5020 0.078097
5030 0.078372
5040 0.078011
5050 0.077011
5060 0.075247
5070 0.07422
5080 0.074204
5090 0.074548
5100 0.074607
5110 0.075024
5120 0.075701
5130 0.076492
5140 0.077367
5150 0.077214
5160 0.07767
5170 0.078513
