#lamb flux
2530 0.00044947
2540 0.00047398
2550 0.00049951
2560 0.00052698
2570 0.0005547
2580 0.00058402
2590 0.00061359
2600 0.00064534
2610 0.00068036
2620 0.00071501
2630 0.00074987
2640 0.00078537
2650 0.00082416
2660 0.00086323
2670 0.00090367
2680 0.00094324
2690 0.00098538
2700 0.0010279
2710 0.0010718
2720 0.0011156
2730 0.001159
2740 0.0012053
2750 0.0012519
2760 0.0012978
2770 0.0013437
2780 0.0013908
2790 0.0014381
2800 0.0014843
2810 0.0015337
2820 0.001584
2830 0.0016341
2840 0.0016848
2850 0.0017364
2860 0.0017884
2870 0.0018435
2880 0.0019
2890 0.0019594
2900 0.0020201
2910 0.0020807
2920 0.0021432
2930 0.0022045
2940 0.0022679
2950 0.0023323
2960 0.0023992
2970 0.0024682
2980 0.0025391
2990 0.0026103
3000 0.002687
3010 0.0027633
3020 0.0028431
3030 0.0029225
3040 0.0030046
3050 0.00309
3060 0.0031783
3070 0.0032664
3080 0.003359
3090 0.0034507
3100 0.0035442
3110 0.0036424
3120 0.0037404
3130 0.0038414
3140 0.0039421
3150 0.0040468
3160 0.0041537
3170 0.004261
3180 0.0043721
3190 0.0044819
3200 0.0045965
3210 0.0047132
3220 0.0048318
3230 0.0049523
3240 0.0050928
3250 0.0052194
3260 0.0053471
3270 0.0054732
3280 0.0056069
3290 0.0057433
3300 0.005879
3310 0.0060209
3320 0.0061485
3330 0.0063112
3340 0.0064608
3350 0.0066096
3360 0.0067712
3370 0.0069326
3380 0.0070851
3390 0.0072669
3400 0.0074308
3410 0.0076097
3420 0.0077926
3430 0.0079539
3440 0.008139
3450 0.0082775
3460 0.008474
3470 0.0086554
3480 0.0088429
3490 0.0090328
3500 0.0092189
3510 0.0094024
3520 0.009587
3530 0.0097754
3540 0.0099554
3550 0.010125
3560 0.0103
3570 0.010481
3580 0.010634
3590 0.010777
3600 0.010901
3610 0.011008
3620 0.011082
3630 0.011137
3640 0.011177
3650 0.011207
3660 0.011225
3670 0.011236
3680 0.011242
3690 0.011242
3700 0.011234
3710 0.011223
3720 0.011206
3730 0.011187
3740 0.011163
3750 0.011137
3760 0.011113
3770 0.011086
3780 0.011053
3790 0.011019
3800 0.010995
3810 0.010964
3820 0.010944
3830 0.010919
3840 0.010905
3850 0.010876
3860 0.010854
3870 0.010839
3880 0.010819
3890 0.010794
3900 0.010766
3910 0.010748
3920 0.010729
3930 0.010699
3940 0.010671
3950 0.010656
3960 0.010632
3970 0.010599
3980 0.010578
3990 0.010548
4000 0.010527
4010 0.010496
4020 0.010473
4030 0.010453
4040 0.010431
4050 0.010409
4060 0.010386
4070 0.010365
4080 0.010341
4090 0.010315
4100 0.010295
4110 0.010273
4120 0.010244
4130 0.010218
4140 0.010186
4150 0.010167
4160 0.010137
4170 0.010112
4180 0.010087
4190 0.010062
4200 0.010026
4210 0.010001
4220 0.0099772
4230 0.0099435
4240 0.0099173
4250 0.0098876
4260 0.0098599
4270 0.009831
4280 0.0098019
4290 0.0097688
4300 0.0097389
4310 0.0097073
4320 0.0096795
4330 0.0096492
4340 0.0096229
4350 0.0095891
4360 0.0095654
4370 0.0095409
4380 0.0095127
4390 0.0094849
4400 0.0094636
4410 0.0094379
4420 0.0094156
4430 0.0093938
4440 0.0093714
4450 0.0093553
4460 0.0093366
4470 0.0093188
4480 0.0093026
4490 0.0092969
4500 0.0092827
4510 0.0092775
4520 0.0092725
4530 0.0092629
4540 0.0092631
4550 0.0092588
4560 0.0092616
4570 0.0092599
4580 0.0092628
4590 0.0092673
4600 0.0092718
4610 0.0092823
4620 0.0092929
4630 0.0093017
4640 0.0093173
4650 0.0093297
4660 0.0093454
4670 0.0093569
4680 0.0093721
4690 0.0093881
4700 0.0094063
4710 0.0094173
4720 0.0094292
4730 0.0094264
4740 0.0094246
4750 0.0094184
4760 0.009397
4770 0.0093651
4780 0.0093205
4790 0.0092715
4800 0.0092076
4810 0.0091337
4820 0.0090602
4830 0.0089865
4840 0.0089063
4850 0.008821
4860 0.0087407
4870 0.0086533
4880 0.0085686
4890 0.0084823
4900 0.0083968
4910 0.0083161
4920 0.008228
4930 0.0081445
4940 0.0080639
4950 0.0079884
4960 0.0079114
4970 0.0078376
4980 0.0077678
4990 0.0077007
5000 0.0076354
5010 0.0075722
5020 0.0075087
5030 0.0074526
5040 0.0073992
5050 0.0073467
5060 0.0072989
5070 0.0072524
5080 0.0072116
5090 0.0071716
5100 0.0071395
5110 0.007108
5120 0.0070815
5130 0.0070547
5140 0.0070339
5150 0.0070138
5160 0.0069945
5170 0.0069758
5180 0.0069598
5190 0.0069412
5200 0.0069238
5210 0.0069035
5220 0.0068851
5230 0.0068665
5240 0.0068466
5250 0.0068252
5260 0.0068001
5270 0.0067754
5280 0.0067485
5290 0.0067184
5300 0.0066877
5310 0.0066553
5320 0.0066238
5330 0.0065878
5340 0.0065528
5350 0.0065177
5360 0.0064823
5370 0.0064499
5380 0.0064175
5390 0.0063884
5400 0.0063575
5410 0.0063301
5420 0.006305
5430 0.0062765
5440 0.0062538
5450 0.006227
5460 0.0062023
5470 0.0061764
5480 0.0061516
5490 0.0061289
