#lamb flux
2530 7.3564e-06
2540 7.9267e-06
2550 8.524e-06
2560 9.1484e-06
2570 9.7882e-06
2580 1.0446e-05
2590 1.1112e-05
2600 1.1801e-05
2610 1.2514e-05
2620 1.3257e-05
2630 1.4035e-05
2640 1.4841e-05
2650 1.5676e-05
2660 1.654e-05
2670 1.7446e-05
2680 1.8382e-05
2690 1.9377e-05
2700 2.0429e-05
2710 2.1536e-05
2720 2.2704e-05
2730 2.3922e-05
2740 2.5203e-05
2750 2.6551e-05
2760 2.7959e-05
2770 2.9423e-05
2780 3.0941e-05
2790 3.2499e-05
2800 3.4091e-05
2810 3.5704e-05
2820 3.7364e-05
2830 3.8985e-05
2840 4.0549e-05
2850 4.2056e-05
2860 4.347e-05
2870 4.482e-05
2880 4.6197e-05
2890 4.7538e-05
2900 4.8871e-05
2910 5.0153e-05
2920 5.1466e-05
2930 5.276e-05
2940 5.403e-05
2950 5.5331e-05
2960 5.6664e-05
2970 5.8067e-05
2980 5.9566e-05
2990 6.117e-05
3000 6.2905e-05
3010 6.48e-05
3020 6.6837e-05
3030 6.9064e-05
3040 7.1489e-05
3050 7.4096e-05
3060 7.6903e-05
3070 7.9886e-05
3080 8.304e-05
3090 8.6354e-05
3100 8.9874e-05
3110 9.357e-05
3120 9.747e-05
3130 0.00010154
3140 0.00010581
3150 0.00011023
3160 0.0001148
3170 0.00011945
3180 0.00012417
3190 0.00012893
3200 0.00013376
3210 0.0001387
3220 0.00014371
3230 0.0001488
3240 0.00015397
3250 0.00015928
3260 0.00016467
3270 0.00017009
3280 0.00017552
3290 0.00018092
3300 0.00018636
3310 0.00019181
3320 0.00019735
3330 0.00020303
3340 0.00020886
3350 0.00021495
3360 0.00022136
3370 0.00022804
3380 0.00023499
3390 0.00024215
3400 0.00024948
3410 0.000257
3420 0.00026461
3430 0.00027224
3440 0.00027991
3450 0.00028757
3460 0.00029527
3470 0.00030302
3480 0.00031081
3490 0.00031865
3500 0.00032651
3510 0.0003344
3520 0.00034235
3530 0.00035032
3540 0.00035834
3550 0.00036639
3560 0.00037451
3570 0.00038261
3580 0.00039065
3590 0.00039861
3600 0.00040637
3610 0.00041398
3620 0.00042149
3630 0.00042889
3640 0.00043625
3650 0.00044361
3660 0.00045088
3670 0.00045813
3680 0.0004654
3690 0.00047268
3700 0.00048001
3710 0.00048749
3720 0.00049513
3730 0.00050297
3740 0.00051099
3750 0.00051916
3760 0.00052752
3770 0.00053599
3780 0.00054466
3790 0.00055339
3800 0.00056223
3810 0.00057103
3820 0.00057978
3830 0.00058856
3840 0.00059743
3850 0.00060644
3860 0.00061569
3870 0.00062517
3880 0.00063496
3890 0.00064519
3900 0.00065585
3910 0.00066718
3920 0.00067887
3930 0.00069069
3940 0.00070304
3950 0.00071591
3960 0.00072905
3970 0.00074242
3980 0.00075617
3990 0.00077016
4000 0.00078429
4010 0.00079862
4020 0.00081309
4030 0.00082768
4040 0.0008423
4050 0.00085689
4060 0.00087144
4070 0.00088589
4080 0.00090021
4090 0.00091446
4100 0.00092844
4110 0.00094208
4120 0.00095541
4130 0.00096853
4140 0.00098138
4150 0.00099393
4160 0.001006
4170 0.0010173
4180 0.0010281
4190 0.0010385
4200 0.0010487
4210 0.0010586
4220 0.0010685
4230 0.0010784
4240 0.0010885
4250 0.001099
4260 0.0011097
4270 0.0011202
4280 0.0011309
4290 0.0011413
4300 0.0011516
4310 0.0011617
4320 0.0011718
4330 0.001182
