#lamb flux
2420 0.07685
2430 0.07424
2440 0.071018
2450 0.074984
2460 0.073849
2470 0.074802
2480 0.074725
2490 0.071939
2500 0.072463
2510 0.06989
2520 0.067767
2530 0.08415
2540 0.11786
2550 0.14894
2560 0.14505
2570 0.14364
2580 0.14613
2590 0.15067
2600 0.148
2610 0.13931
2620 0.12682
2630 0.11192
2640 0.10001
2650 0.097468
2660 0.096608
2670 0.1046
2680 0.10071
2690 0.10282
2700 0.13267
2710 0.17319
2720 0.17325
2730 0.16554
2740 0.1579
2750 0.14696
2760 0.14244
2770 0.14544
2780 0.16064
2790 0.1861
2800 0.22012
2810 0.20467
2820 0.18433
2830 0.16292
2840 0.15718
2850 0.14996
2860 0.1446
2870 0.1414
2880 0.14224
2890 0.1497
2900 0.17418
2910 0.21534
2920 0.26674
2930 0.31024
2940 0.33661
2950 0.34356
2960 0.34536
2970 0.34262
2980 0.33686
2990 0.32
3000 0.2871
3010 0.25606
3020 0.23132
3030 0.21333
3040 0.20239
3050 0.19547
3060 0.17799
3070 0.16211
3080 0.14914
3090 0.13855
3100 0.12434
3110 0.12161
3120 0.12763
3130 0.13666
3140 0.14942
3150 0.15613
3160 0.16584
3170 0.17512
3180 0.18535
3190 0.19252
3200 0.19494
3210 0.18637
3220 0.17511
3230 0.15873
3240 0.14357
3250 0.13093
3260 0.12262
3270 0.11573
3280 0.10898
3290 0.1028
3300 0.096759
3310 0.09404
3320 0.092116
3330 0.091702
3340 0.090564
3350 0.088193
3360 0.086262
3370 0.085454
3380 0.085586
3390 0.085976
3400 0.086291
3410 0.086368
3420 0.086229
3430 0.085366
3440 0.083663
3450 0.079007
3460 0.076684
3470 0.074294
3480 0.071907
3490 0.069684
3500 0.067673
3510 0.052006
3520 0.05172
3530 0.051529
3540 0.051543
3550 0.05133
3560 0.051283
3570 0.051719
3580 0.051683
3590 0.051407
3600 0.051369
3610 0.050872
3620 0.051075
3630 0.050911
3640 0.051544
3650 0.051388
3660 0.051587
3670 0.050367
3680 0.050536
3690 0.049945
3700 0.050693
3710 0.049708
3720 0.049573
3730 0.049366
3740 0.048346
3750 0.04814
3760 0.047526
3770 0.046972
3780 0.046387
3790 0.045907
3800 0.045354
3810 0.045244
3820 0.045042
3830 0.044358
3840 0.043663
3850 0.043189
3860 0.042627
3870 0.042105
3880 0.041222
3890 0.041202
3900 0.041252
3910 0.040767
3920 0.039552
3930 0.037116
3940 0.037942
3950 0.037914
3960 0.03634
3970 0.034067
3980 0.033998
3990 0.033271
4000 0.032637
4010 0.032317
4020 0.031911
4030 0.031461
4040 0.030928
4050 0.030414
4060 0.029812
4070 0.029123
4080 0.02832
4090 0.027803
4100 0.026407
4110 0.025807
4120 0.024944
4130 0.023916
4140 0.022843
4150 0.021955
4160 0.021086
4170 0.020226
4180 0.019438
4190 0.01853
4200 0.017739
4210 0.016926
4220 0.016251
4230 0.016166
4240 0.015981
4250 0.015917
4260 0.015851
4270 0.015539
4280 0.015188
4290 0.014861
4300 0.014584
4310 0.01405
4320 0.01369
4330 0.013033
4340 0.012621
4350 0.012074
4360 0.011583
4370 0.011216
4380 0.010817
4390 0.0104
4400 0.010039
4410 0.009524
4420 0.0092017
4430 0.0089456
4440 0.0085413
4450 0.0083037
4460 0.0080155
4470 0.0076794
4480 0.0073945
4490 0.0070745
4500 0.0069359
4510 0.0067319
4520 0.0065317
4530 0.0063371
4540 0.0062302
4550 0.0061038
4560 0.0060132
4570 0.0058448
4580 0.0057723
4590 0.0057771
4600 0.0057335
4610 0.0056848
4620 0.0056465
4630 0.0056498
4640 0.0056453
4650 0.005612
4660 0.0056194
4670 0.0055767
4680 0.0055149
4690 0.0055245
4700 0.0055311
4710 0.0055907
4720 0.005741
4730 0.0062245
4740 0.0064098
4750 0.0068029
4760 0.0072594
4770 0.0076765
4780 0.0080974
4790 0.0083787
4800 0.0086764
4810 0.0089419
4820 0.0092384
4830 0.0095654
4840 0.0097838
4850 0.0099712
4860 0.010161
4870 0.010226
4880 0.010297
4890 0.010341
4900 0.010488
4910 0.010619
4920 0.010764
4930 0.010863
4940 0.011079
4950 0.011267
4960 0.011417
4970 0.011562
4980 0.011766
4990 0.011953
5000 0.01211
5010 0.012292
5020 0.012473
5030 0.012653
5040 0.012984
5050 0.013169
5060 0.013364
5070 0.013724
5080 0.014061
5090 0.014293
5100 0.014559
5110 0.014804
5120 0.015079
5130 0.015411
5140 0.015715
5150 0.015899
5160 0.01616
5170 0.016336
5180 0.01663
5190 0.016976
5200 0.017145
5210 0.017349
5220 0.017523
5230 0.017792
5240 0.018123
5250 0.018283
5260 0.018516
5270 0.018736
5280 0.018893
5290 0.019091
5300 0.019232
5310 0.019512
5320 0.019634
5330 0.019801
5340 0.019961
5350 0.020163
5360 0.020354
5370 0.020585
5380 0.020709
5390 0.020834
5400 0.021058
5410 0.021147
5420 0.021245
5430 0.021441
5440 0.021373
5450 0.021469
5460 0.02146
5470 0.021425
5480 0.021358
5490 0.021344
5500 0.021374
5510 0.021088
5520 0.021126
5530 0.020768
5540 0.020657
5550 0.020614
5560 0.020809
5570 0.020695
5580 0.020743
5590 0.020655
5600 0.020617
5610 0.020464
5620 0.020307
5630 0.020197
5640 0.020153
5650 0.020066
5660 0.019875
5670 0.019539
5680 0.019346
5690 0.018947
5700 0.018585
5710 0.018303
5720 0.018326
5730 0.018327
5740 0.01867
5750 0.019026
5760 0.019533
5770 0.01946
5780 0.01943
5790 0.019287
5800 0.019081
5810 0.019211
5820 0.01909
5830 0.019243
5840 0.01901
5850 0.018661
5860 0.018301
5870 0.017782
5880 0.017019
5890 0.015649
5900 0.015769
5910 0.016138
5920 0.015903
5930 0.015533
5940 0.015215
5950 0.014976
5960 0.014706
5970 0.01453
5980 0.014256
5990 0.014091
6000 0.013935
6010 0.013944
6020 0.01396
6030 0.013943
6040 0.013945
6050 0.013934
6060 0.014033
6070 0.014119
6080 0.014132
6090 0.014268
6100 0.01432
6110 0.014474
6120 0.014591
6130 0.014715
6140 0.01478
6150 0.014849
6160 0.01493
6170 0.014917
6180 0.015052
6190 0.015111
6200 0.015232
6210 0.015302
6220 0.015369
6230 0.015384
6240 0.015458
6250 0.015497
6260 0.015595
6270 0.015553
6280 0.015188
6290 0.015534
6300 0.015196
6310 0.015133
6320 0.015309
6330 0.015398
6340 0.015531
6350 0.015521
6360 0.015511
6370 0.015641
6380 0.016049
6390 0.016639
6400 0.017608
6410 0.018543
6420 0.019422
6430 0.020024
6440 0.020674
6450 0.0213
6460 0.021795
6470 0.021974
6480 0.022111
6490 0.022079
6500 0.022236
6510 0.022342
6520 0.022554
6530 0.022468
6540 0.022259
6550 0.021939
6560 0.021484
6570 0.021314
6580 0.020487
6590 0.020105
6600 0.019586
6610 0.018936
6620 0.018533
6630 0.017926
6640 0.017363
6650 0.016817
6660 0.016259
6670 0.015527
6680 0.015045
6690 0.014625
6700 0.014143
6710 0.013651
6720 0.013212
6730 0.01276
6740 0.012282
6750 0.011953
6760 0.011608
6770 0.011237
6780 0.010956
6790 0.010624
6800 0.010348
6810 0.010037
6820 0.0097274
6830 0.0094556
6840 0.0090819
6850 0.0089633
6860 0.0087657
6870 0.0085563
6880 0.0082582
6890 0.008141
6900 0.0079608
6910 0.0076659
6920 0.0074709
6930 0.0073329
6940 0.0071567
6950 0.007069
6960 0.0069007
6970 0.0067738
6980 0.0065887
6990 0.0064409
7000 0.0062798
7010 0.0061737
7020 0.0059847
7030 0.0057582
7040 0.00567
7050 0.0055667
7060 0.0053944
7070 0.0052793
7080 0.0051546
7090 0.0050509
7100 0.0049584
7110 0.004843
7120 0.0047195
7130 0.0046459
7140 0.0045514
7150 0.0044579
