#lamb flux
2370 0.0
2380 5.1142e-12
2390 9.2462e-12
2400 0.0
2410 0.0
2420 0.0
2430 0.0
2440 0.0
2450 0.0
2460 0.0
2470 0.0
2480 0.0
2490 0.0
2500 0.0
2510 0.0
2520 0.0
2530 7.7726e-11
2540 2.5055e-10
2550 4.6751e-10
2560 7.1828e-10
2570 1.0936e-09
2580 1.55e-09
2590 9.6084e-11
2600 2.4015e-10
2610 3.9534e-10
2620 1.5493e-09
2630 1.3583e-09
2640 1.1946e-09
2650 1.1309e-09
2660 1.1896e-09
2670 1.2921e-09
2680 1.4075e-09
2690 1.5059e-09
2700 1.7628e-09
2710 2.1379e-09
2720 2.5927e-09
2730 3.0574e-09
2740 3.0141e-09
2750 3.186e-09
2760 3.4828e-09
2770 3.887e-09
2780 4.3026e-09
2790 4.7097e-09
2800 5.1651e-09
2810 5.5991e-09
2820 6.1755e-09
2830 6.5512e-09
2840 6.4258e-09
2850 6.1046e-09
2860 5.8438e-09
2870 5.7334e-09
2880 5.6827e-09
2890 5.5803e-09
2900 5.5607e-09
2910 5.8127e-09
2920 6.4672e-09
2930 7.3931e-09
2940 9.0754e-09
2950 1.1367e-08
2960 1.2624e-08
2970 1.1927e-08
2980 9.9031e-09
2990 8.059e-09
3000 7.1287e-09
3010 7.1939e-09
3020 8.1021e-09
3030 9.277e-09
3040 1.0244e-08
3050 1.0985e-08
3060 1.1561e-08
3070 1.1736e-08
3080 1.1454e-08
3090 1.1298e-08
3100 1.1335e-08
3110 1.0924e-08
3120 1.0351e-08
3130 9.9038e-09
3140 9.8648e-09
3150 1.0328e-08
3160 1.129e-08
3170 1.2802e-08
3180 1.5044e-08
3190 1.7356e-08
3200 1.9129e-08
3210 2.044e-08
3220 2.0472e-08
3230 1.8899e-08
3240 1.69e-08
3250 1.5414e-08
3260 1.4624e-08
3270 1.4532e-08
3280 1.5114e-08
3290 1.649e-08
3300 1.8842e-08
3310 2.2389e-08
3320 2.7178e-08
3330 3.2935e-08
3340 3.7693e-08
3350 4.0525e-08
3360 4.1156e-08
3370 4.0753e-08
3380 4.2065e-08
3390 4.7887e-08
3400 5.4743e-08
3410 6.3107e-08
3420 7.4329e-08
3430 8.9209e-08
3440 1.0826e-07
3450 1.3367e-07
3460 1.6363e-07
3470 1.9164e-07
3480 2.1468e-07
3490 2.2651e-07
3500 2.3255e-07
3510 2.4872e-07
3520 2.7804e-07
3530 3.1558e-07
3540 3.591e-07
3550 4.1435e-07
3560 4.7969e-07
3570 5.6015e-07
3580 6.572e-07
3590 7.344e-07
3600 7.9287e-07
3610 9.0104e-07
3620 1.1031e-06
3630 1.299e-06
3640 1.4571e-06
3650 1.6095e-06
3660 1.7073e-06
3670 1.784e-06
3680 1.862e-06
3690 1.9265e-06
3700 1.9702e-06
3710 2.1133e-06
3720 3.155e-06
3730 4.7913e-06
3740 1.0551e-05
3750 9.2003e-06
3760 1.0575e-05
3770 1.0951e-05
3780 1.1142e-05
3790 1.0047e-05
3800 3.3731e-06
3810 3.6265e-06
3820 4.1191e-06
3830 4.5145e-06
3840 5.1464e-06
3850 6.3807e-06
3860 6.3067e-06
3870 6.8746e-06
3880 7.6769e-06
3890 8.7181e-06
3900 9.8239e-06
3910 1.0381e-05
3920 1.1534e-05
3930 1.3833e-05
3940 1.3994e-05
3950 1.6417e-05
3960 1.9502e-05
3970 1.999e-05
3980 2.0882e-05
3990 2.4838e-05
4000 2.3546e-05
4010 2.5186e-05
4020 2.6938e-05
4030 3.2195e-05
4040 3.193e-05
4050 3.4155e-05
4060 3.1973e-05
4070 3.6995e-05
4080 4.1868e-05
4090 3.9697e-05
4100 4.89e-05
4110 5.0242e-05
4120 6.0253e-05
4130 6.707e-05
4140 7.0216e-05
4150 7.7606e-05
4160 8.2283e-05
4170 7.9985e-05
4180 8.2262e-05
4190 8.9462e-05
4200 9.6065e-05
4210 9.5107e-05
4220 0.00046306
4230 0.00044226
4240 0.00044141
4250 0.00045202
4260 0.00042427
4270 0.0003837
4280 0.00036965
4290 0.00037226
4300 0.00038843
4310 0.00039795
4320 0.00039403
4330 0.00039526
4340 0.00041806
4350 0.00044367
4360 0.00044636
4370 0.00046345
4380 0.00051946
4390 0.00053689
4400 0.00056071
4410 0.00059999
4420 0.00059997
4430 0.00065086
4440 0.00065956
4450 0.00068547
4460 0.00072941
4470 0.0007673
4480 0.00079164
4490 0.00081258
4500 0.00085775
4510 0.00087859
4520 0.00090814
4530 0.00096377
4540 0.00097378
4550 0.0010386
4560 0.0010342
4570 0.0010713
4580 0.0011226
4590 0.0011743
4600 0.0011865
4610 0.0012688
4620 0.0012856
4630 0.0013618
4640 0.0014015
4650 0.0014711
4660 0.0015126
4670 0.0015519
4680 0.0015853
4690 0.001656
4700 0.0016838
4710 0.0017756
4720 0.0018124
4730 0.004662
4740 0.0044721
4750 0.0042358
4760 0.003807
4770 0.003335
4780 0.0030868
4790 0.0033501
4800 0.004322
4810 0.0055502
4820 0.0063633
4830 0.0063005
4840 0.0056929
4850 0.0052708
4860 0.0046548
4870 0.0043787
4880 0.0038261
4890 0.0040886
4900 0.0044654
4910 0.0048934
4920 0.0054448
4930 0.0058806
4940 0.0056945
4950 0.0055868
4960 0.0062362
4970 0.0069767
4980 0.0074156
4990 0.0071776
5000 0.00636
5010 0.0057154
5020 0.0060869
5030 0.0077203
5040 0.0077208
5050 0.007603
5060 0.0075807
5070 0.0072036
5080 0.0063291
5090 0.006051
5100 0.006246
5110 0.0067029
5120 0.0073289
5130 0.0081032
5140 0.0087302
5150 0.0081443
5160 0.0070688
5170 0.0066657
5180 0.0064513
5190 0.0059118
5200 0.0056601
5210 0.0062491
5220 0.0056039
5230 0.0056076
5240 0.0059839
5250 0.0059831
5260 0.0067049
5270 0.0064401
5280 0.0069816
5290 0.0072071
5300 0.0070486
5310 0.0075822
5320 0.0075683
5330 0.0073695
5340 0.0072044
5350 0.0074213
5360 0.0073907
5370 0.0072248
5380 0.0077669
5390 0.0077083
5400 0.0080778
5410 0.0086838
5420 0.0086525
5430 0.0092693
5440 0.0090081
5450 0.0085213
5460 0.0084017
5470 0.0087617
5480 0.0088361
5490 0.0089039
5500 0.0094232
5510 0.0090505
5520 0.008858
5530 0.0093482
5540 0.0093158
5550 0.0086587
5560 0.0086028
5570 0.0082121
5580 0.008024
5590 0.008856
5600 0.0085867
5610 0.0089414
5620 0.0087639
5630 0.0086419
5640 0.0082526
5650 0.0086826
5660 0.008636
5670 0.0083468
5680 0.008243
5690 0.0084239
5700 0.0078046
5710 0.007992
5720 0.0085777
5730 0.0083646
5740 0.0081886
5750 0.0088566
5760 0.0088918
5770 0.0084409
5780 0.0078481
5790 0.0082889
5800 0.0080482
5810 0.0076879
5820 0.0078292
5830 0.007514
5840 0.0069262
5850 0.0067352
5860 0.0070774
5870 0.0073027
5880 0.0074132
5890 0.0074461
5900 0.0073885
5910 0.0072765
5920 0.0071781
5930 0.0071248
