#lamb flux
2580 5.0565e-06
2590 5.511e-06
2600 6.0295e-06
2610 6.8101e-06
2620 7.027e-06
2630 7.3577e-06
2640 7.6834e-06
2650 8.9303e-06
2660 9.4548e-06
2670 1.0177e-05
2680 1.1226e-05
2690 1.1794e-05
2700 1.3078e-05
2710 1.4201e-05
2720 1.5222e-05
2730 1.6142e-05
2740 1.7854e-05
2750 1.9314e-05
2760 1.9671e-05
2770 2.0194e-05
2780 2.2923e-05
2790 2.6328e-05
2800 3.0548e-05
2810 3.5645e-05
2820 4.0766e-05
2830 4.6442e-05
2840 5.2087e-05
2850 5.5485e-05
2860 5.9973e-05
2870 6.132e-05
2880 6.5662e-05
2890 6.5031e-05
2900 6.9044e-05
2910 7.3933e-05
2920 7.8022e-05
2930 8.1384e-05
2940 8.4242e-05
2950 8.7859e-05
2960 8.8716e-05
2970 9.7576e-05
2980 0.00010961
2990 0.00011506
3000 0.00012089
3010 0.00012744
3020 0.00014254
3030 0.00015824
3040 0.00017076
3050 0.00018083
3060 0.00018717
3070 0.00019281
3080 0.0001995
3090 0.00018809
3100 0.00018813
3110 0.00017913
3120 0.00017395
3130 0.00019133
3140 0.00018702
3150 0.00015969
3160 0.00018394
3170 0.00019353
3180 0.00017948
3190 0.00017535
3200 0.00019429
3210 0.00016793
3220 0.00017762
3230 0.0001526
3240 0.00015651
3250 0.00015623
3260 0.00015364
3270 0.00015701
3280 0.00016575
3290 0.00017584
3300 0.00018712
3310 0.00019843
3320 0.00021542
3330 0.00022529
3340 0.00023528
3350 0.00024371
3360 0.00025207
3370 0.00025926
3380 0.00026853
3390 0.00028175
3400 0.00029956
3410 0.00032014
3420 0.00035435
3430 0.00037981
3440 0.00040604
3450 0.00043002
3460 0.00045281
3470 0.00048406
3480 0.0004957
3490 0.00050508
3500 0.00051279
3510 0.00050639
3520 0.00050409
3530 0.0004955
3540 0.00048728
3550 0.00047628
3560 0.00046295
3570 0.00044137
3580 0.00043062
3590 0.00041527
3600 0.0003958
3610 0.00036812
3620 0.00035327
3630 0.00033866
3640 0.00032946
3650 0.00032518
3660 0.0003141
3670 0.00031591
3680 0.00032065
3690 0.00032416
3700 0.00033054
3710 0.00034888
3720 0.00037372
3730 0.00038859
3740 0.00041014
3750 0.00043252
3760 0.00045212
3770 0.00046512
3780 0.00048649
3790 0.00044805
3800 0.00047536
3810 0.00046245
3820 0.00047098
3830 0.00050344
3840 0.0004767
3850 0.0005073
3860 0.00040432
3870 0.00040377
3880 0.00040696
3890 0.00042341
3900 0.00040021
3910 0.00042179
3920 0.00039193
3930 0.00039226
3940 0.00037435
3950 0.00037462
3960 0.00037202
3970 0.00037392
3980 0.00036718
3990 0.00036529
4000 0.00037088
4010 0.0003588
4020 0.00035772
4030 0.00035738
4040 0.00036418
4050 0.0003814
4060 0.00035762
4070 0.00033218
4080 0.00032637
4090 0.00031842
4100 0.00030986
4110 0.00031041
4120 0.00030139
4130 0.00030268
4140 0.00032094
4150 0.0003008
4160 0.00029205
4170 0.00029457
4180 0.00029712
4190 0.00029702
4200 0.00027915
4210 0.00026742
4220 0.00025258
4230 0.00024644
4240 0.00024287
4250 0.00022549
4260 0.00022076
4270 0.00022851
4280 0.00022441
4290 0.00022947
4300 0.00023226
4310 0.00023111
4320 0.00024799
4330 0.00022619
4340 0.00023306
4350 0.00024397
4360 0.00024069
4370 0.00022581
4380 0.00020654
4390 0.00021874
4400 0.00022716
4410 0.00022189
4420 0.00022
4430 0.00022303
4440 0.00022439
4450 0.00021719
4460 0.00020945
4470 0.00020479
4480 0.00020035
4490 0.0001954
4500 0.00018718
4510 0.00017945
4520 0.00016753
4530 0.00015871
4540 0.00014998
4550 0.00014442
4560 0.00013666
4570 0.00012756
4580 0.00011814
4590 0.0001089
4600 9.9138e-05
4610 9.1261e-05
4620 8.0127e-05
4630 7.217e-05
4640 6.2613e-05
4650 5.4436e-05
4660 4.6889e-05
4670 3.9754e-05
4680 3.2138e-05
4690 2.6382e-05
4700 2.158e-05
4710 1.7889e-05
4720 1.5984e-05
4730 1.6206e-05
4740 1.8289e-05
4750 2.167e-05
4760 2.5986e-05
4770 2.9907e-05
4780 3.4127e-05
4790 3.8727e-05
4800 4.4873e-05
4810 4.998e-05
4820 5.3273e-05
4830 5.7027e-05
4840 5.9531e-05
4850 6.3413e-05
4860 6.8471e-05
4870 7.6476e-05
4880 8.3848e-05
4890 8.8578e-05
4900 9.1361e-05
4910 9.6578e-05
4920 9.973e-05
4930 0.00010526
4940 0.00011493
4950 0.00011925
4960 0.00012433
4970 0.00012678
4980 0.00012679
4990 0.00012963
5000 0.00013742
5010 0.00014048
5020 0.00013512
5030 0.00013642
5040 0.00014989
5050 0.00015027
5060 0.00015907
5070 0.00016427
5080 0.00016375
5090 0.00016962
5100 0.00016705
5110 0.00016739
5120 0.00016826
5130 0.00017149
5140 0.0001788
5150 0.00017642
5160 0.00017546
5170 0.00018463
5180 0.00017995
5190 0.00018175
5200 0.0001834
5210 0.00018448
5220 0.00018597
5230 0.00018688
5240 0.00018666
5250 0.00018526
5260 0.00018516
5270 0.00018485
5280 0.00018365
5290 0.00018317
5300 0.00018105
5310 0.00018059
5320 0.00017978
5330 0.00017776
5340 0.00017433
5350 0.00017411
5360 0.00017137
5370 0.00016993
5380 0.00017021
5390 0.00016828
5400 0.00016687
5410 0.00016529
5420 0.00016338
5430 0.00016134
5440 0.00015956
5450 0.00015683
5460 0.00015385
5470 0.00015022
5480 0.00014717
5490 0.00014369
5500 0.00013895
5510 0.00013514
5520 0.00013355
5530 0.00013155
5540 0.00013051
5550 0.0001288
5560 0.00012898
5570 0.00012835
5580 0.00012848
5590 0.00012635
5600 0.00012168
5610 0.00011875
5620 0.00011609
5630 0.00011648
5640 0.00011547
5650 0.00011546
5660 0.00011459
5670 0.00011085
5680 0.00010717
5690 0.00011283
5700 0.00011178
5710 0.00010885
5720 0.00010783
5730 0.00011033
5740 0.00010857
5750 0.00010427
5760 0.00010749
5770 0.00010677
5780 0.00010957
5790 0.00010617
5800 0.00010073
5810 0.00010177
5820 9.9608e-05
5830 0.0001024
5840 0.00010099
5850 9.9158e-05
5860 9.9094e-05
5870 9.8347e-05
5880 9.8084e-05
5890 9.7908e-05
5900 9.7659e-05
5910 9.7347e-05
5920 9.7713e-05
5930 9.6356e-05
5940 9.3356e-05
5950 9.2984e-05
5960 9.2102e-05
5970 9.1665e-05
5980 8.8362e-05
5990 8.6282e-05
6000 8.4714e-05
6010 8.3195e-05
6020 8.1375e-05
6030 8.0229e-05
6040 7.8692e-05
6050 7.9046e-05
6060 7.9181e-05
6070 7.7775e-05
6080 7.5461e-05
6090 7.7409e-05
6100 7.5902e-05
6110 7.2209e-05
6120 7.2433e-05
6130 7.0749e-05
6140 7.1305e-05
6150 7.2449e-05
6160 6.9617e-05
6170 6.6254e-05
6180 6.5268e-05
6190 6.4925e-05
6200 6.449e-05
6210 6.4475e-05
6220 6.4003e-05
6230 6.3367e-05
6240 6.2583e-05
6250 6.1399e-05
6260 6.0032e-05
6270 5.7625e-05
6280 5.6407e-05
6290 5.8289e-05
6300 6.1168e-05
6310 6.0633e-05
6320 5.83e-05
6330 5.3805e-05
6340 5.3827e-05
6350 5.5555e-05
6360 5.5219e-05
6370 5.5909e-05
6380 5.4412e-05
6390 5.5063e-05
6400 5.3372e-05
6410 5.1224e-05
6420 5.0102e-05
6430 4.7369e-05
6440 4.6336e-05
6450 4.5383e-05
6460 4.3992e-05
6470 4.3234e-05
6480 4.475e-05
6490 4.4665e-05
6500 4.3095e-05
6510 4.301e-05
6520 4.1391e-05
6530 3.9926e-05
6540 3.8658e-05
6550 3.952e-05
6560 3.8625e-05
6570 3.6319e-05
6580 3.4331e-05
6590 3.4176e-05
6600 3.2637e-05
6610 3.1888e-05
6620 3.1098e-05
6630 3.0589e-05
6640 2.9648e-05
6650 2.876e-05
6660 2.8098e-05
6670 2.7075e-05
6680 2.6183e-05
6690 2.5386e-05
6700 2.4602e-05
6710 2.3706e-05
6720 2.287e-05
6730 2.1963e-05
6740 2.1049e-05
6750 2.0208e-05
6760 1.952e-05
6770 1.8751e-05
6780 1.8e-05
6790 1.7216e-05
6800 1.6479e-05
6810 1.5804e-05
6820 1.5114e-05
6830 1.4545e-05
6840 1.3969e-05
6850 1.3412e-05
6860 1.2883e-05
6870 1.2378e-05
6880 1.1895e-05
6890 1.1433e-05
6900 1.099e-05
6910 1.0563e-05
6920 1.0159e-05
6930 1.0051e-05
6940 9.8147e-06
6950 9.7202e-06
6960 8.9896e-06
6970 8.6237e-06
6980 8.3824e-06
6990 8.8037e-06
7000 8.1151e-06
7010 7.5967e-06
7020 7.4191e-06
7030 7.3619e-06
7040 7.4732e-06
7050 7.2267e-06
7060 6.869e-06
7070 6.4861e-06
7080 6.1462e-06
7090 5.9507e-06
7100 5.724e-06
7110 5.5275e-06
7120 5.323e-06
7130 5.1605e-06
7140 4.9168e-06
7150 4.6402e-06
7160 4.352e-06
7170 4.1571e-06
7180 4.0116e-06
7190 3.754e-06
7200 3.8855e-06
7210 3.516e-06
7220 3.3289e-06
7230 3.138e-06
7240 3.0413e-06
7250 2.8884e-06
7260 2.7641e-06
7270 2.6497e-06
7280 2.558e-06
7290 2.4616e-06
7300 2.3764e-06
7310 2.2863e-06
7320 2.1982e-06
7330 2.11e-06
7340 2.0166e-06
7350 1.9233e-06
7360 1.8407e-06
7370 1.7599e-06
7380 1.6718e-06
7390 1.592e-06
7400 1.5183e-06
7410 1.4474e-06
7420 1.3794e-06
7430 1.4185e-06
7440 1.335e-06
7450 1.1882e-06
7460 1.1302e-06
7470 1.0745e-06
7480 1.0201e-06
7490 9.6834e-07
7500 9.187e-07
7510 8.7033e-07
7520 8.8712e-07
7530 8.5775e-07
7540 7.3951e-07
7550 7.7636e-07
7560 7.4538e-07
7570 6.8125e-07
7580 7.0011e-07
7590 6.4472e-07
7600 6.0815e-07
7610 5.4653e-07
7620 5.1336e-07
7630 5.0345e-07
7640 5.3081e-07
7650 4.9484e-07
7660 4.5712e-07
7670 4.5561e-07
7680 4.2048e-07
7690 3.5944e-07
7700 3.2748e-07
7710 3.0732e-07
7720 3.0591e-07
7730 2.8725e-07
7740 2.6031e-07
7750 2.5726e-07
7760 2.3581e-07
7770 2.0919e-07
7780 1.9393e-07
7790 1.9047e-07
7800 1.7662e-07
7810 1.6753e-07
7820 1.6144e-07
7830 1.5439e-07
7840 1.2777e-07
7850 1.1893e-07
7860 1.1063e-07
7870 1.0285e-07
7880 9.5552e-08
7890 8.8718e-08
7900 8.2316e-08
7910 7.6322e-08
7920 7.0717e-08
7930 6.5478e-08
7940 6.058e-08
7950 5.6008e-08
7960 5.1743e-08
7970 4.7769e-08
7980 4.4067e-08
7990 4.0619e-08
8000 3.7414e-08
8010 3.4434e-08
8020 3.1665e-08
8030 2.9096e-08
8040 2.6713e-08
8050 2.4504e-08
8060 2.2458e-08
8070 2.0565e-08
8080 1.8813e-08
8090 1.7195e-08
8100 1.5701e-08
8110 1.4323e-08
8120 1.3053e-08
8130 1.1883e-08
8140 1.0807e-08
8150 9.9073e-09
8160 9.0955e-09
8170 8.344e-09
8180 7.6566e-09
8190 7.0827e-09
8200 6.5466e-09
8210 6.0463e-09
8220 5.5798e-09
8230 5.1449e-09
8240 4.7397e-09
8250 4.3624e-09
