#lamb flux
2580 1.6254e-05
2590 1.6823e-05
2600 1.7374e-05
2610 1.8129e-05
2620 1.8891e-05
2630 1.9917e-05
2640 2.0965e-05
2650 2.2093e-05
2660 2.3384e-05
2670 2.4725e-05
2680 2.6159e-05
2690 2.7584e-05
2700 2.9023e-05
2710 3.0637e-05
2720 3.2526e-05
2730 3.4642e-05
2740 3.6361e-05
2750 3.7985e-05
2760 3.9966e-05
2770 4.2296e-05
2780 4.4845e-05
2790 4.7289e-05
2800 4.9705e-05
2810 5.229e-05
2820 5.5347e-05
2830 5.8936e-05
2840 6.3031e-05
2850 6.7622e-05
2860 7.2512e-05
2870 7.7454e-05
2880 8.2217e-05
2890 8.6808e-05
2900 9.1447e-05
2910 9.5994e-05
2920 0.00010026
2930 0.00010424
2940 0.00010888
2950 0.00011446
2960 0.00011995
2970 0.00012449
2980 0.00012886
2990 0.00013323
3000 0.00013798
3010 0.0001427
3020 0.00014674
3030 0.00015019
3040 0.00015241
3050 0.00015385
3060 0.00015533
3070 0.00015708
3080 0.00015975
3090 0.00016296
3100 0.00016726
3110 0.00017249
3120 0.00017872
3130 0.00018556
3140 0.00019253
3150 0.00019906
3160 0.00020594
3170 0.00021235
3180 0.00022809
3190 0.0002454
3200 0.00023371
3210 0.00025216
3220 0.00026601
3230 0.0002806
3240 0.00026227
3250 0.00027154
3260 0.00028195
3270 0.0002866
3280 0.00029354
3290 0.00030119
3300 0.00031317
3310 0.00032324
3320 0.00034937
3330 0.00035253
3340 0.00036891
3350 0.00037551
3360 0.0004142
3370 0.00046221
3380 0.00044433
3390 0.00046904
3400 0.00049406
3410 0.00051843
3420 0.00054856
3430 0.00058469
3440 0.00060361
3450 0.00064284
3460 0.00067829
3470 0.00066173
3480 0.00064806
3490 0.00065664
3500 0.00066405
3510 0.00069804
3520 0.00071892
3530 0.00070886
3540 0.00069505
3550 0.00071774
3560 0.00073021
3570 0.00076834
3580 0.0007993
3590 0.00079016
3600 0.00086376
3610 0.00080079
3620 0.00089879
3630 0.0009651
3640 0.00085123
3650 0.0010701
3660 0.00092196
3670 0.00092133
3680 0.00087686
3690 0.0008671
3700 0.00083261
3710 0.00082402
3720 0.00069081
3730 0.0020769
3740 0.0014274
3750 0.0007242
3760 0.0015812
3770 0.00097986
3780 0.0013469
3790 0.001561
3800 0.00084142
3810 0.000881
3820 0.0013978
3830 0.002016
3840 0.0021252
3850 0.0015983
3860 0.0026203
3870 0.0026608
3880 0.0031418
3890 0.003031
3900 0.0033401
3910 0.0031756
3920 0.0038303
3930 0.0033905
3940 0.0037367
3950 0.0038168
3960 0.0038619
3970 0.0039146
3980 0.0045598
3990 0.0040978
4000 0.0044998
4010 0.0047949
4020 0.0052137
4030 0.0052239
4040 0.005296
4050 0.0055256
4060 0.0054008
4070 0.0056939
4080 0.0052395
4090 0.0054498
4100 0.0052563
4110 0.0053523
4120 0.0054809
4130 0.0055569
4140 0.0057938
4150 0.0055688
4160 0.0056579
4170 0.0057319
4180 0.0059212
4190 0.006527
4200 0.0059884
4210 0.006326
4220 0.0062431
4230 0.0068086
4240 0.0069202
